round,table_number,player_1,player_1_score,player_2,player_2_score
1,1,Nigel Richards,NZL,510,-
1,2,Siddharth Nithyanand,IND,434,-
1,3,Charles Carneiro,IND,515,-
1,4,Akshay Bhandarkar,IND,517,-
1,5,Dean Saldanha,CAN,391,-
1,6,Sanhanat Klanying,THA,379,-
1,7,Komol Panyasophonlert,THA,422,-
1,8,Lukeman Owolabi,IRL,469,-
1,9,Chollapat Itthi-Aree,THA,447,-
1,10,Brian Po,HKG,361,-
1,11,Andrew Fisher,AUS,457,-
1,12,Anthony Ikolo,NGA,479,-
1,13,Rik Kennedy,GBR,525,-
1,14,Jimoh Abdulmumin,NGA,-100,-
1,14,Cameron Farlow,AUS,100,-
1,15,Thacha Koowirat,THA,459,-
1,16,Jesse Day,USA,100,-
1,16,Ezinore George,NGA,-100,-
1,17,Natthakorn Siriwatthanaphongsa,THA,526,-
1,18,Dave Wiegand,USA,498,-
1,19,Sherwin Rodrigues,IND,495,-
1,20,Akegapun Erbprasartsook,THA,574,-
1,21,Vannitha Balasingam,MYS,430,-
1,22,Darren Khoo,MYS,452,-
1,23,Suyash Manchali,IND,402,-
1,24,Ben Schoenbrun,USA,389,-
1,25,Nattapat Nak-in,THA,467,-
1,26,Doko Oluwatimilehin,NGA,-100,-
1,26,Trevor Halsall,AUS,100,-
1,27,Jakkrit Klaphajone,THA,492,-
1,28,Jason Keller,USA,390,-
1,29,Nuti Suri,THA,500,-
1,30,Chaiyottha Manachaisit,THA,479,-
1,31,Samuel Crispin,GBR,387,-
1,32,Udayan Grover,IND,-100,-
1,32,Russell Honeybun,AUS,100,-
1,33,Rob Robinsky,USA,479,-
1,34,Ricky Purnomo,SGP,425,-
1,35,David Webb,GBR,456,-
1,36,Puttapong Moonsarn,THA,534,-
1,37,J Jeyaseelan,SGP,337,-
1,38,Kian Boon Liew,SGP,620,-
1,39,CharnwitS Sukhumrattanaporn,THA,407,-
1,40,Ishika Shivalingaiah,IND,423,-
1,41,Apirat Choomai,THA,424,-
1,42,Natalie Zolty,GBR,446,-
1,43,Josh Watt,AUS,402,-
1,44,Alexander Gozali,IDN,430,-
2,1,Jason Carney,GBR,415,-
2,2,Euclid Hui,HKG,531,-
2,3,Akshay Bhandarkar,IND,491,-
2,4,Nuti Suri,THA,429,-
2,5,Sherwin Rodrigues,IND,491,-
2,6,Thitipol Barameemuang,THA,388,-
2,7,Weibin Toh,SGP,505,-
2,8,Brian Po,HKG,469,-
2,9,Aditya Iyengar,IND,440,-
2,10,Trevor Halsall,AUS,432,-
2,11,Charae Worapotpisut,THA,418,-
2,12,Gerry Carter,THA,424,-
2,13,Rob Robinsky,USA,462,-
2,14,Sanhanat Klanying,THA,434,-
2,15,Kian Boon Liew,SGP,413,-
2,16,Samrath Singh Bhatia,IND,494,-
2,17,Pesol Kosalakood,THA,381,-
2,18,Mike Baron,USA,296,-
2,19,Thacha Koowirat,THA,528,-
2,20,Chollapat Itthi-Aree,THA,397,-
2,21,Rasheed Balogun,USA,473,-
2,22,Suyash Manchali,IND,518,-
2,23,Sanjoy Gupta,IND,402,-
2,24,Irfan Siddiqui,BHR,480,-
2,25,Odette Rio,PHL,510,-
2,26,Norases Vesdapunt,THA,450,-
2,27,David Eldar,AUS,463,-
2,28,Ming Hui Hubert Wee,SGP,449,-
2,29,Piotr Andronowski,GBR,424,-
2,30,Harshan Lamabadusuriya,GBR,432,-
2,31,Marlon Prudencio,SGP,431,-
2,32,Cameron Farlow,AUS,418,-
2,33,Doko Oluwatimilehin,NGA,-100,-
2,33,Lukeman Owolabi,IRL,100,-
2,34,Nopparuj Tipkaew,THA,472,-
2,35,Siu Hean Cheah,SGP,480,-
2,36,Sujana Somasekar,IND,371,-
2,37,Thomson Law,HKG,421,-
2,38,Waseem Khatri,PAK,426,-
2,40,Edward Okulicz,AUS,364,-
2,41,Michael Gongolo,KEN,381,-
2,42,Joshua Castellano,USA,460,-
2,43,Ryan Wee,SGP,491,-
2,44,Orlet Bullock,VCT,331,-
2,,Chock Heng Kong,MYS,183,-
3,1,Alexander Gozali,IDN,533,-
3,2,Andrew Fisher,AUS,402,-
3,3,Madhav Gopal Kamath,IND,499,-
3,4,Nigel Richards,NZL,434,-
3,5,Puttapong Moonsarn,THA,319,-
3,6,Dave Wiegand,USA,526,-
3,7,Charles Carneiro,IND,443,-
3,8,Rik Kennedy,GBR,357,-
3,9,Natthakorn Siriwatthanaphongsa,THA,488,-
3,10,Chaiyottha Manachaisit,THA,451,-
3,11,Natalie Zolty,GBR,478,-
3,12,Panupol Sujjayakorn,THA,450,-
3,13,Nattapat Nak-in,THA,334,-
3,14,Napat Vatjaranurathorn,THA,465,-
3,15,Komol Panyasophonlert,THA,406,-
3,16,Ishika Shivalingaiah,IND,364,-
3,17,Weibin Toh,SGP,430,-
3,18,Anthony Ikolo,NGA,261,-
3,19,Darren Khoo,MYS,477,-
3,20,Thomson Law,HKG,466,-
3,21,Soramet Mettaviharee,THA,473,-
3,22,CharnwitS Sukhumrattanaporn,THA,410,-
3,23,Norases Vesdapunt,THA,565,-
3,24,Samrath Singh Bhatia,IND,443,-
3,25,Josh Watt,AUS,380,-
3,26,Aditya Iyengar,IND,423,-
3,27,Waseem Khatri,PAK,442,-
3,28,Doko Oluwatimilehin,NGA,-100,-
3,28,Lukeman Owolabi,IRL,100,-
3,29,William Kang,MYS,565,-
3,30,Joshua Castellano,USA,480,-
3,31,Piotr Andronowski,GBR,496,-
3,32,Sujana Somasekar,IND,454,-
3,33,Marlon Prudencio,SGP,375,-
3,34,Orlet Bullock,VCT,443,-
3,35,Rasheed Balogun,USA,495,-
3,36,Samson Okosagah,USA,372,-
3,37,Sanjoy Gupta,IND,379,-
3,38,Jason Carney,GBR,375,-
3,39,Austin Shin,USA,554,-
3,40,Jack Moran,GBR,449,-
3,41,Gerry Carter,THA,453,-
3,42,Ben Schoenbrun,USA,453,-
3,43,Irfan Siddiqui,BHR,388,-
3,44,Euclid Hui,HKG,514,-
4,1,Madhav Gopal Kamath,IND,396,-
4,2,Cameron Farlow,AUS,465,-
4,3,Dave Wiegand,USA,437,-
4,4,Andrew Fisher,AUS,411,-
4,5,Chollapat Itthi-Aree,THA,529,-
4,6,Odette Rio,PHL,469,-
4,7,Napat Vatjaranurathorn,THA,432,-
4,8,David Eldar,AUS,420,-
4,9,Weibin Toh,SGP,376,-
4,10,Siddharth Nithyanand,IND,387,-
4,11,Joshua Castellano,USA,445,-
4,12,Russell Honeybun,AUS,376,-
4,13,Akegapun Erbprasartsook,THA,340,-
4,14,Chock Heng Kong,MYS,367,-
4,15,Jason Keller,USA,471,-
4,16,Soramet Mettaviharee,THA,446,-
4,17,Vannitha Balasingam,MYS,503,-
4,18,Pesol Kosalakood,THA,407,-
4,19,Komol Panyasophonlert,THA,543,-
4,20,Dean Saldanha,CAN,458,-
4,21,Samuel Crispin,GBR,372,-
4,22,David Webb,GBR,466,-
4,23,Jesse Day,USA,394,-
4,24,Anthony Ikolo,NGA,399,-
4,25,Samson Okosagah,USA,420,-
4,26,Doko Oluwatimilehin,NGA,-100,-
4,26,Austin Shin,USA,100,-
4,27,Michael Gongolo,KEN,442,-
4,28,Ezinore George,NGA,459,-
4,29,Charles Carneiro,IND,467,-
4,30,Charae Worapotpisut,THA,368,-
4,31,Siu Hean Cheah,SGP,364,-
4,32,Edward Okulicz,AUS,465,-
4,33,Thitipol Barameemuang,THA,461,-
4,34,J Jeyaseelan,SGP,429,-
4,35,Nopparuj Tipkaew,THA,536,-
4,36,Udayan Grover,IND,483,-
4,37,Ming Hui Hubert Wee,SGP,530,-
4,38,Sujana Somasekar,IND,468,-
4,39,Jimoh Abdulmumin,NGA,478,-
4,40,CharnwitI Iamudom,THA,455,-
4,41,Ryan Wee,SGP,408,-
4,42,Sanjoy Gupta,IND,349,-
4,43,Orlet Bullock,VCT,367,-
4,44,Mike Baron,USA,348,-
5,1,Napat Vatjaranurathorn,THA,456,-
5,2,Thomson Law,HKG,420,-
5,3,Thacha Koowirat,THA,433,-
5,4,Natthakorn Siriwatthanaphongsa,THA,393,-
5,5,Alexander Gozali,IDN,396,-
5,6,Natalie Zolty,GBR,425,-
5,7,Trevor Halsall,AUS,494,-
5,8,Norases Vesdapunt,THA,387,-
5,9,Pesol Kosalakood,THA,297,-
5,10,Akegapun Erbprasartsook,THA,424,-
5,11,Puttapong Moonsarn,THA,390,-
5,12,Panupol Sujjayakorn,THA,463,-
5,13,Piotr Andronowski,GBR,526,-
5,14,Jesse Day,USA,468,-
5,15,Russell Honeybun,AUS,467,-
5,16,Chock Heng Kong,MYS,420,-
5,17,Ricky Purnomo,SGP,477,-
5,18,Suyash Manchali,IND,471,-
5,19,Jakkrit Klaphajone,THA,434,-
5,20,Dean Saldanha,CAN,515,-
5,21,Samuel Crispin,GBR,344,-
5,22,Austin Shin,USA,415,-
5,23,Sherwin Rodrigues,IND,475,-
5,24,William Kang,MYS,399,-
5,25,Vannitha Balasingam,MYS,427,-
5,26,Ming Hui Hubert Wee,SGP,389,-
5,27,Udayan Grover,IND,607,-
5,28,Charles Carneiro,IND,432,-
5,29,Siu Hean Cheah,SGP,403,-
5,30,Jimoh Abdulmumin,NGA,467,-
5,31,J Jeyaseelan,SGP,396,-
5,32,Jack Moran,GBR,402,-
5,33,Samrath Singh Bhatia,IND,357,-
5,34,Harshan Lamabadusuriya,GBR,544,-
5,35,Ryan Wee,SGP,417,-
5,36,Ishika Shivalingaiah,IND,446,-
5,37,Brian Po,HKG,437,-
5,38,Marlon Prudencio,SGP,508,-
5,39,Waseem Khatri,PAK,438,-
5,40,Apirat Choomai,THA,398,-
5,41,Thitipol Barameemuang,THA,293,-
5,42,Ben Schoenbrun,USA,100,-
5,42,Doko Oluwatimilehin,NGA,-100,-
5,43,CharnwitI Iamudom,THA,557,-
5,44,Sanhanat Klanying,THA,455,-
6,1,Cameron Farlow,AUS,486,-
6,2,Natthakorn Siriwatthanaphongsa,THA,430,-
6,3,Darren Khoo,MYS,473,-
6,4,Trevor Halsall,AUS,378,-
6,5,Akshay Bhandarkar,IND,512,-
6,6,Jakkrit Klaphajone,THA,409,-
6,7,Soramet Mettaviharee,THA,341,-
6,8,Madhav Gopal Kamath,IND,551,-
6,9,Panupol Sujjayakorn,THA,444,-
6,10,CharnwitS Sukhumrattanaporn,THA,463,-
6,11,Andrew Fisher,AUS,477,-
6,12,Rasheed Balogun,USA,398,-
6,13,Nigel Richards,NZL,464,-
6,14,Rob Robinsky,USA,487,-
6,15,Norases Vesdapunt,THA,362,-
6,16,Sujana Somasekar,IND,458,-
6,17,Chaiyottha Manachaisit,THA,444,-
6,18,Lukeman Owolabi,IRL,500,-
6,19,Ricky Purnomo,SGP,464,-
6,20,Chock Heng Kong,MYS,373,-
6,21,Sherwin Rodrigues,IND,401,-
6,22,Nattapat Nak-in,THA,397,-
6,23,Josh Watt,AUS,505,-
6,24,Samuel Crispin,GBR,481,-
6,25,Nuti Suri,THA,352,-
6,26,Udayan Grover,IND,260,-
6,27,David Webb,GBR,328,-
6,28,Irfan Siddiqui,BHR,482,-
6,29,Jesse Day,USA,450,-
6,30,J Jeyaseelan,SGP,339,-
6,31,Ben Schoenbrun,USA,575,-
6,32,Euclid Hui,HKG,470,-
6,33,Kian Boon Liew,SGP,481,-
6,34,Ezinore George,NGA,415,-
6,35,Jack Moran,GBR,489,-
6,36,Charae Worapotpisut,THA,547,-
6,37,Harshan Lamabadusuriya,GBR,499,-
6,38,Samson Okosagah,USA,418,-
6,39,Gerry Carter,THA,357,-
6,40,Michael Gongolo,KEN,359,-
6,41,CharnwitI Iamudom,THA,491,-
6,42,Doko Oluwatimilehin,NGA,-100,-
6,42,Jason Carney,GBR,100,-
6,43,Sanjoy Gupta,IND,458,-
6,44,Mike Baron,USA,486,-
7,1,Napat Vatjaranurathorn,THA,458,-
7,2,Akshay Bhandarkar,IND,462,-
7,3,Rob Robinsky,USA,413,-
7,4,CharnwitS Sukhumrattanaporn,THA,530,-
7,5,Darren Khoo,MYS,382,-
7,6,David Eldar,AUS,544,-
7,7,Puttapong Moonsarn,THA,361,-
7,8,Panupol Sujjayakorn,THA,387,-
7,9,Dean Saldanha,CAN,286,-
7,10,Edward Okulicz,AUS,483,-
7,11,Joshua Castellano,USA,447,-
7,12,Thacha Koowirat,THA,485,-
7,13,Natalie Zolty,GBR,474,-
7,14,Chollapat Itthi-Aree,THA,414,-
7,15,Soramet Mettaviharee,THA,472,-
7,16,Suyash Manchali,IND,410,-
7,17,Pesol Kosalakood,THA,515,-
7,18,Akegapun Erbprasartsook,THA,421,-
7,19,Ricky Purnomo,SGP,423,-
7,20,Aditya Iyengar,IND,350,-
7,21,Ishika Shivalingaiah,IND,392,-
7,22,Rik Kennedy,GBR,480,-
7,23,Norases Vesdapunt,THA,428,-
7,24,Michael Gongolo,KEN,521,-
7,25,Ming Hui Hubert Wee,SGP,391,-
7,26,CharnwitI Iamudom,THA,402,-
7,27,Marlon Prudencio,SGP,442,-
7,28,Lukeman Owolabi,IRL,432,-
7,29,Odette Rio,PHL,355,-
7,30,Samrath Singh Bhatia,IND,526,-
7,31,Sanhanat Klanying,THA,426,-
7,32,Siddharth Nithyanand,IND,451,-
