round,result,opponent,player_score,opponent_score,spread,youtube_link,woogles_annotation
1,W,David Webb,371,456,-456,https://www.youtube.com/watch?v=nFSYyFEfCHI,https://woogles.io/anno/PzYPSgfB7pMHRhVDY2d9KS
1,W,David Webb,371,456,-456,,
2,W,Ricky Purnomo,440,348,-348,,https://woogles.io/anno/PzYPSgfB7pMHRhVDY2d9KS
3,W,Charae Worapotpisut,423,417,-417,,
4,W,Anthony Ikolo,466,399,-399,,
5,L,Russell Honeybun,413,467,-467,,
6,L,Madhav Gopal Kamath,410,551,-551,,https://woogles.io/anno/9NyoDMqRiTTwgfg79dVnp2
7,W,Josh Watt,350,519,-519,,
8,W,Nopparuj Tipkaew,429,403,-403,,
9,W,Odette Rio,468,369,-369,,
10,L,Sujana Somasekar,328,408,-408,,
11,W,Michael Gongolo,483,429,-429,,
12,W,Samrath Singh Bhatia,493,403,-403,,
13,L,Natalie Zolty,390,411,-411,,
14,W,Piotr Andronowski,481,427,-427,,
15,L,Russell Honeybun 2,356,563,-563,,
16,L,Panupol Sujjayakorn,434,480,-480,,
17,W,Vannitha Balasingam,467,352,-352,,
18,W,David Webb 2,477,277,-277,,
19,W,Ezinore George,444,347,-347,,
20,W,Charles Carneiro,412,389,-389,,
21,W,Weibin Toh,450,360,-360,,
22,L,CharnwitS Sukhumrattanaporn,430,495,-495,,
23,W,Nigel Richards,387,321,-321,,http://woogles.io/anno/oPLjcAcKcT83NemQDLa2wU
24,W,Puttapong Moonsarn,363,353,-353,,
25,L,Joshua Castellano,416,419,-419,,http://woogles.io/anno/RsaDBEHoJPKy8HM7BrJp93
26,W,Komol Panyasophonlert,386,360,-360,,http://woogles.io/anno/dPUzskCmuZNpHEVuq8kbh2
27,W,Kian Boon Liew,444,416,-416,,http://woogles.io/anno/5yWsRRTJ2EhayJbE6pvc4s
28,W,Darren Khoo,495,435,-435,,http://woogles.io/anno/jvninuwcSzHfkJEHGGPhpw
29,W,Cameron Farlow,481,352,-352,,http://woogles.io/anno/GcsaJGSTrTpQMNNMWBuufb
30,L,Madhav Gopal Kamath 2,324,506,-506,https://www.youtube.com/watch?v=nFSYyFEfCHI,http://woogles.io/anno/LNwZW3Ansk3NQAtxm4CfHp
31,W,Chaiyottha Manachaisit,549,336,-336,,
32,L,Harshan Lamabadusuriya,325,506,-506,,
33,W,Samson Okosagah,432,421,-421,,
34,L,Harshan Lamabadusuriya 2,426,489,-489,,
35,L,Nigel Richards 2,394,481,-481,,
36,W,Michael Gongolo 2,450,400,-400,,
