round,result,opponent,player_score,opponent_score,spread,youtube_link,woogles_annotation
1,W,Irfan Siddiqui,574,308,266,https://youtu.be/hdBeNWE8oeY?si=QEUX4Dae7xPk4b6n,https://woogles.io/anno/avvV6MHXX75EWcSpCupaHV
1,W,Irfan Siddiqui,574,308,266,,
2,W,Jason Carney,465,415,50,https://youtu.be/hdBeNWE8oeY?si=QEUX4Dae7xPk4b6n,https://woogles.io/anno/avvV6MHXX75EWcSpCupaHV
3,L,Andrew Fisher,373,402,-29,https://youtu.be/gt38yejk2P8?si=IvxgQ0R0Y98M5RWZ,https://woogles.io/anno/VazYKuqz8wi2uj2uyRUMpH
4,L,Jakkrit Klaphajone,340,554,-214,,
5,W,Soramet Mettaviharee,424,368,56,,https://woogles.io/anno/c8obbDMhrq89AZkPM8wEkc
6,L,Samuel Crispin,357,481,-124,,
7,W,Jimoh Abdulmumin,421,358,63,,
8,L,Rik Kennedy,352,382,-30,,
9,L,Suyash Manchali,457,459,-2,,
10,W,Euclid Hui,482,372,110,,
11,L,Brian Po,399,411,-12,,
12,W,Siu Hean Cheah,520,427,93,,
13,L,Unknown,389,414,-25,,
14,W,Ming Hui Hubert Wee,469,495,-26,,
15,W,Nuti Suri,516,437,79,,
16,L,Nopparuj Tipkaew,441,465,-24,,
17,L,Jimoh Abdulmumin 2,363,436,-73,,
18,L,Sujana Somasekar,409,428,-19,,
19,L,Natthakorn Siriwatthanaphongsa,369,477,-108,,
20,W,Sanjoy Gupta,449,431,18,,
21,W,Charae Worapotpisut,440,318,122,,
22,W,Natthakorn Siriwatthanaphongsa 2,422,371,51,,
23,W,Chock Heng Kong,454,421,33,,
24,L,Ezinore George,351,461,-110,,
25,W,Anthony Ikolo,544,313,231,,
26,L,Austin Shin,445,510,-65,,
27,W,Sujana Somasekar 2,537,379,158,,
28,W,Waseem Khatri,484,453,31,,
29,W,Weibin Toh,530,401,129,,
30,L,Jakkrit Klaphajone 2,421,435,-14,,
31,L,Austin Shin 2,502,566,-64,,
32,L,Doko Oluwatimilehin,429,488,-59,,
33,W,William Kang,376,392,-16,,
34,W,Lukeman Owolabi,480,360,120,,
35,W,William Kang 2,505,393,112,,
36,W,Natalie Zolty,592,488,104,,
