round,result,opponent,player_score,opponent_score,spread,youtube_link,woogles_annotation
1,W,Gerry Carter,517,311,206,https://youtu.be/xEYt-jxfkdc?si=mpzlt4IPT0e1Ww95,https://woogles.io/anno/BbbbhYDpSc4CPD7UFdypxk
1,W,Gerry Carter,517,311,206,,https://woogles.io/anno/BbbbhYDpSc4CPD7UFdypxk
2,W,J Jeyaseelan,491,325,166,https://youtu.be/xEYt-jxfkdc?si=mpzlt4IPT0e1Ww95,https://woogles.io/anno/ahqzttpw4aktpJNfSiCGxP
3,L,Nigel Richards,424,434,-10,,https://woogles.io/anno/aGfEZULNPfrtvo4KPDKwNP
4,W,Russell Honeybun,406,376,30,,
5,W,Pesol Kosalakood,504,297,207,,https://woogles.io/anno/2icvdjj9wRXW4A4SEQqD2q
6,L,Joshua Castellano,512,544,-32,,https://woogles.io/anno/NJrHuYKToFm4yxDXdbXVyK
7,W,Dave Wiegand,462,410,52,https://youtu.be/icOvlQTx6RQ?si=B1EEDcsduAq5dOdK,https://woogles.io/anno/FiQdVhwvDicFLgSsuReeKN
8,W,Josh Watt,401,421,-20,,https://woogles.io/anno/a8RBNQqoxc4CTfgR9FRqeq
9,W,CharnwitS Sukhumrattanaporn,404,388,16,https://youtu.be/h8rWRhBaxxk?si=qM74REOfr5Ua9OPG,https://woogles.io/anno/hPci79xLGtsgw9A92SWseS
10,W,Rasheed Balogun,469,390,79,,https://woogles.io/anno/DeDFauqpvkpYX6hn3xHuZm
11,W,Andrew Fisher,476,416,60,https://www.youtube.com/watch?v=wVvi8b6xfTA,https://woogles.io/anno/PzfMptCYTWbAT4r3FJ9ZDx
12,W,Josh Watt 2,517,398,119,https://www.youtube.com/watch?v=03I7Xcu86nQ,https://woogles.io/anno/5wU6gALXGq9xokMDd9sdFm
13,L,Napat Vatjaranurathorn,344,456,-112,https://www.youtube.com/watch?v=6asoUDSQVzk,http://woogles.io/anno/bHHUEW3YiRQ4ZosJFEWR9e
14,L,Jason Keller,436,443,-7,https://www.youtube.com/watch?v=6HlzMhGKgsQ,http://woogles.io/anno/ia3Wg4khssZbf3V33qg2yj
15,L,Puttapong Moonsarn,347,410,-63,,http://woogles.io/anno/byRyB8UdGmiqX3q9Ak7doo
16,W,Thacha Koowirat,463,450,13,,http://woogles.io/anno/N6GBfCoMkW8AsjtR92AG2D
17,W,Ricky Purnomo,456,420,36,,http://woogles.io/anno/oPgABRwevUKgC3vjArqL2M
18,W,Joshua Castellano 2,416,408,8,,http://woogles.io/anno/5GpR3xBEnhcYFxmmNPJPbC
19,W,Ben Schoenbrun,451,366,85,,http://woogles.io/anno/cjUbfLWRsY3KYcUdoh9FSE
20,W,David Eldar,450,383,67,,http://woogles.io/anno/NhrdE8fsqvkYytAf2fjxoh
21,L,Madhav Gopal Kamath,400,466,-66,https://www.youtube.com/watch?v=9W8AD6TDR2M,http://woogles.io/anno/Zt64PpVHrU6Ymw8K3qkZb8
22,W,Dave Wiegand 2,414,416,-2,,http://woogles.io/anno/eeo7jg9wdbUo3E3NJTwz5S
23,L,Jason Keller 2,367,500,-133,https://www.youtube.com/watch?v=Lusxj6NIFa4,http://woogles.io/anno/JrBt3Y7gKrPRp6muPBHfRh
24,W,Komol Panyasophonlert,505,420,85,,http://woogles.io/anno/Wou33sGPNfEPBLFF2H4bHh
25,L,Andrew Fisher 2,463,498,-35,,http://woogles.io/anno/dBqGJGzqdndHh4Y5VeRveY
26,W,Josh Watt 3,576,356,220,,http://woogles.io/anno/k8fP5UNVXfC3BwFm2eDdQ2
27,L,Napat Vatjaranurathorn 2,376,491,-115,,http://woogles.io/anno/iBPGrtRtabDg4LSChnEgTW
28,W,Cameron Farlow,477,465,12,,http://woogles.io/anno/fzAPMcdGwLThHqMAcDZB7D
29,L,Darren Khoo,511,604,-93,,http://woogles.io/anno/Mnr7rbuUPBWNcVWkdC4D78
30,L,David Eldar 2,428,448,-20,,http://woogles.io/anno/JvJMAPdeVYYXWicnDLZeyM
31,W,Josh Watt 4,429,568,-139,,
32,W,Udayan Grover,478,336,142,,
33,W,Komol Panyasophonlert 2,420,406,14,,
34,L,Ben Schoenbrun 2,364,426,-62,,
35,W,Jimoh Abdulmumin,527,420,107,,
36,L,Komol Panyasophonlert 3,413,430,-17,,
