round,result,opponent,player_score,opponent_score,spread,youtube_link,woogles_annotation
1,W,Samrath Singh Bhatia,430,353,77,https://youtu.be/vHTw-SjigKE?si=FjJm173wKM-8Y7U8,https://woogles.io/anno/TCeNnrhAbDRUatS6mWXkRH
1,W,Samrath Singh Bhatia,430,353,77,,
2,W,Sanhanat Klanying,493,434,59,,
3,W,Kian Boon Liew,533,354,179,https://youtu.be/vHTw-SjigKE?si=FjJm173wKM-8Y7U8,https://woogles.io/anno/TCeNnrhAbDRUatS6mWXkRH
4,W,Madhav Gopal Kamath,518,396,122,https://youtu.be/y6eby076BFc?si=WgMupYHHbalEvVJj,https://woogles.io/anno/MYj2hc3Y9kLXyLhqH9UnYF
5,L,Andrew Fisher,396,507,-111,,https://woogles.io/anno/XoiiqpwdLT7ogV45KQ73MX
6,L,Cameron Farlow,452,486,-34,https://youtu.be/VpmDWBPsx4M?si=hFOQtloV491UzzOQ,https://woogles.io/anno/GHkzCq2KHgkNTeKgtCENPc
7,L,David Eldar,416,544,-128,,https://woogles.io/anno/dNKd55npoWb2nB4MCdqsTd
8,W,Joshua Castellano,458,310,148,,https://woogles.io/anno/NhdG37ki7ke95vRBZ29X8e
9,L,Jason Keller,301,486,-185,,
11,W,Charles Carneiro,447,439,8,,
12,L,Panupol Sujjayakorn,384,419,-35,,
13,L,Ricky Purnomo,444,476,-32,,
14,L,Cameron Farlow 2,413,506,-93,,
15,W,Rasheed Balogun,536,333,203,,
16,W,Unknown,472,357,115,,
17,W,Suyash Manchali,521,463,58,,
18,W,Udayan Grover,500,430,70,,
19,L,Irfan Siddiqui,470,522,-52,,
20,W,Piotr Andronowski,423,370,53,,
21,W,Ming Hui Hubert Wee,468,443,25,,
22,L,Kian Boon Liew 2,387,524,-137,,
23,W,Napat Vatjaranurathorn,497,439,58,,http://woogles.io/anno/LB9EVqiTULCZQQtBAh6Jcc
24,L,Harshan Lamabadusuriya,415,592,-177,,
25,W,Jimoh Abdulmumin,437,413,24,,
26,L,Cameron Farlow 3,442,545,-103,,
27,W,Josh Watt,371,479,-108,,
28,L,Soramet Mettaviharee 2,396,554,-158,,
29,L,Natalie Zolty,407,478,-71,,
30,W,Austin Shin,514,409,105,,
31,W,William Kang,451,364,87,,
32,W,Soramet Mettaviharee 3,478,430,48,,
33,W,Sherwin Rodrigues,500,341,159,,
34,W,Ming Hui Hubert Wee 2,464,403,61,,
35,L,Samson Okosagah,342,519,-177,,
36,W,Soramet Mettaviharee 4,541,268,273,,
