round,result,opponent,player_score,opponent_score,spread,youtube_link,woogles_annotation
1,W,Nopparuj Tipkaew,457,388,69,https://youtu.be/gt38yejk2P8?si=IvxgQ0R0Y98M5RWZ,https://woogles.io/anno/VazYKuqz8wi2uj2uyRUMpH
1,W,Nopparuj Tipkaew,457,388,69,,
2,W,Kian Boon Liew,462,413,49,,
3,W,Akegapun Erbprasartsook,402,373,29,https://youtu.be/gt38yejk2P8?si=IvxgQ0R0Y98M5RWZ,https://woogles.io/anno/VazYKuqz8wi2uj2uyRUMpH
4,L,Natthakorn Siriwatthanaphongsa,411,493,-82,,https://woogles.io/anno/Pw6WE6SwhNJqDdDojfTeYN
5,W,Alexander Gozali,507,396,111,,https://woogles.io/anno/XoiiqpwdLT7ogV45KQ73MX
6,W,Dean Saldanha,477,326,151,,
7,W,Darren Khoo,480,382,98,,https://woogles.io/anno/hfjpHFxx8cesQ8FzMEMGTx
8,W,CharnwitS Sukhumrattanaporn,552,461,91,,https://woogles.io/anno/VD7qEpDPVptwo5nXUvLPHc
9,L,Napat Vatjaranurathorn,482,536,-54,https://youtu.be/hTRuKm1NlGE?si=IjrHcDmqZnbJ0LdP,https://woogles.io/anno/S4HjnD84gDRspjKVcxDeWV
10,W,Cameron Farlow,366,322,44,https://youtu.be/3Yj0AjzYAuI?si=VeVu8386ZVHSnJ0g,https://woogles.io/anno/Q4AuZ5xKhESXTPXVqP24i2
11,L,Akshay Bhandarkar,416,476,-60,https://www.youtube.com/watch?v=wVvi8b6xfTA,https://woogles.io/anno/PzfMptCYTWbAT4r3FJ9ZDx
12,L,Napat Vatjaranurathorn 2,377,403,-26,https://www.youtube.com/watch?v=5EsmVsz9BNg,https://woogles.io/anno/KjGU7VJM8YWc3jJRTpNvaP
13,L,David Eldar,391,495,-104,https://www.youtube.com/watch?v=2F2EJ38FAWk,http://woogles.io/anno/iR8uFf532xeLoSKHgGh4zq
14,W,Darren Khoo 2,472,355,117,,http://woogles.io/anno/QSZUV2De8qT5kPXzoA57Lo
15,W,Cameron Farlow 2,439,437,2,,http://woogles.io/anno/EcPEHw59n6K9PHXv2ebeyy
16,W,Ricky Purnomo,494,352,142,,http://woogles.io/anno/Guq3hqDMUV53WENWfXiPXm
17,L,Komol Panyasophonlert,429,594,-165,,http://woogles.io/anno/VhSUu2oyy9jpUb5WrQetrG
18,W,Kian Boon Liew 2,466,381,85,,http://woogles.io/anno/MKHjrih43TvaiKR5KwcD7T
19,W,Weibin Toh,361,484,-123,,http://woogles.io/anno/eXEbMSYXxTaKft7JsezKud
20,W,Madhav Gopal Kamath,513,435,78,https://www.youtube.com/watch?v=aV491q1FteM,http://woogles.io/anno/ikTnqV6sWtFHiPYpEVNVJR
21,W,Soramet Mettaviharee,486,290,196,,http://woogles.io/anno/LraNyyGXjNyXuVf9wYDnbU
22,L,Chaiyottha Manachaisit,333,421,-88,,http://woogles.io/anno/QyLJ2T4HdbdffLsNR4oBbe
23,W,Panupol Sujjayakorn,491,485,6,,http://woogles.io/anno/GhxXmBwWRKACkUSrgXLvYr
24,L,Joshua Castellano,335,520,-185,,http://woogles.io/anno/JjsgFf778D3HbXKY5F9qtj
25,W,Akshay Bhandarkar 2,498,463,35,,http://woogles.io/anno/dBqGJGzqdndHh4Y5VeRveY
26,W,Darren Khoo 3,495,300,195,,http://woogles.io/anno/8TGfU7sUvNuUWdPqCFYxNC
27,L,Thacha Koowirat,410,489,-79,,http://woogles.io/anno/BqUnoNFCjc7bNipLSvRB5G
28,W,Dave Wiegand,428,442,-14,https://www.youtube.com/watch?v=wEzhKC0pbRY,http://woogles.io/anno/Gx6mM5j66RpH75axnC29Kq
29,L,Harshan Lamabadusuriya,409,430,-21,,http://woogles.io/anno/eDqTYHnoQZDhXvZiwgzyZx
30,W,Cameron Farlow 3,446,359,87,,http://woogles.io/anno/S8wiFZ24MAea3Dt6JcQtNd
31,L,Michael Gongolo,337,497,-160,,
32,L,Nigel Richards,398,408,-10,,
33,W,Siu Hean Cheah,445,405,40,,
34,W,Jimoh Abdulmumin,419,373,46,,
35,L,Napat Vatjaranurathorn 3,474,517,-43,,
36,L,Nuti Suri,320,459,-139,,
