round,result,opponent,player_score,opponent_score,spread,youtube_link,woogles_annotation
1,W,Waseem Khatri,479,462,17,,
1,W,Waseem Khatri,479,462,17,,
2,L,Suyash Manchali,359,518,-159,,
3,L,Trevor Halsall,261,577,-316,,
4,L,Aditya Iyengar,399,466,-67,,
5,L,Marlon Prudencio,330,508,-178,,
6,W,Michael Gongolo,419,359,60,,
7,W,Jack Moran,475,391,84,,
8,L,Samrath Singh Bhatia,377,464,-87,,
9,L,Jimoh Abdulmumin,426,471,-45,,
10,W,Unknown,457,437,20,,
11,W,Ishika Shivalingaiah,432,364,68,,
12,L,CharnwitI Iamudom,326,400,-74,,
13,L,Michael Gongolo 2,405,570,-165,,
14,W,Sujana Somasekar,436,419,17,,
15,L,Nopparuj Tipkaew,376,549,-173,,
16,W,Waseem Khatri 2,417,516,-99,,
17,L,Nuti Suri,351,483,-132,,
18,W,Marlon Prudencio 2,506,407,99,,
19,L,Orlet Bullock,362,541,-179,,
20,W,Norases Vesdapunt,469,427,42,,
21,W,Ryan Wee,318,502,-184,,
22,W,Rasheed Balogun,444,287,157,,
23,W,CharnwitI Iamudom 2,477,373,104,,
24,W,Natthakorn Siriwatthanaphongsa,449,392,57,,
25,L,Akegapun Erbprasartsook,313,544,-231,,
26,W,Rob Robinsky,438,393,45,,
27,L,Jack Moran 2,353,479,-126,,
28,L,Euclid Hui,361,384,-23,,
29,L,Nopparuj Tipkaew 2,364,460,-96,,
30,W,Sanjoy Gupta,549,394,155,,
31,W,Jason Carney,425,391,34,,
32,W,Vannitha Balasingam,537,335,202,,
33,W,Pesol Kosalakood,440,406,34,,
34,W,CharnwitS Sukhumrattanaporn,544,419,125,,
35,W,Waseem Khatri 3,471,381,90,,
36,L,Piotr Andronowski,432,561,-129,,
