round,result,opponent,player_score,opponent_score,spread,youtube_link,woogles_annotation
1,L,Soramet Mettaviharee,424,428,-4,,
1,L,Soramet Mettaviharee,424,428,-4,,
2,L,Cameron Farlow,370,418,-48,,
3,L,Samrath Singh Bhatia,398,443,-45,,
4,L,Jimoh Abdulmumin,330,478,-148,,
5,L,Sanjoy Gupta,398,435,-37,,
6,L,CharnwitI Iamudom,477,491,-14,,
7,L,Brian Po,415,495,-80,,
8,W,Doko Oluwatimilehin,444,390,54,,
9,L,Thitipol Barameemuang,375,469,-94,,
10,W,Ryan Wee,531,364,167,,
11,L,J Jeyaseelan,411,483,-72,,
12,L,Jack Moran,343,486,-143,,
13,L,Doko Oluwatimilehin 2,378,485,-107,,
14,W,Mike Baron,570,284,286,,
15,W,William Kang,403,366,37,,
16,W,Thitipol Barameemuang 2,454,446,8,,
17,L,Sanjoy Gupta 2,363,401,-38,,
18,L,CharnwitI Iamudom 2,471,484,-13,,
19,W,Siddharth Nithyanand,362,360,2,,
20,W,Thomson Law,450,409,41,,
21,L,Sanjoy Gupta 3,425,432,-7,,
22,L,CharnwitI Iamudom 3,421,462,-41,,
23,W,Charae Worapotpisut,449,406,43,,
24,L,Thomson Law 2,398,506,-108,,
25,W,J Jeyaseelan 2,393,375,18,,
26,L,Lukeman Owolabi,415,452,-37,,
27,W,Gerry Carter,546,394,152,,
28,W,Siddharth Nithyanand 2,442,361,81,,
29,L,Ishika Shivalingaiah,412,414,-2,,
30,W,Orlet Bullock,404,402,2,,
31,W,Unknown,,,,,
32,W,Ryan Wee 2,380,368,12,,
33,L,Norases Vesdapunt,414,428,-14,,
34,W,Charles Carneiro,425,385,40,,
35,L,Norases Vesdapunt 2,341,428,-87,,
36,W,Ryan Wee 3,372,392,-20,,
