round,result,opponent,player_score,opponent_score,spread,youtube_link,woogles_annotation
1,W,Dave Wiegand,452,498,-46,,https://woogles.io/anno/QetDCAqYwifbspN5b277kj
1,W,Dave Wiegand,452,498,-46,,
2,L,Joshua Castellano,448,460,-12,,
3,W,Mike Baron,554,325,229,,
4,W,Unknown,,,,,
5,W,Komol Panyasophonlert,415,391,24,,
6,L,Sujana Somasekar,407,458,-51,,
7,W,Dean Saldanha,429,286,143,,https://woogles.io/anno/QetDCAqYwifbspN5b277kj
8,L,Soramet Mettaviharee,325,430,-105,,
9,W,Nopparuj Tipkaew,535,489,46,,
10,W,Lukeman Owolabi,498,354,144,,
11,L,Jesse Day,445,607,-162,,https://woogles.io/anno/hWB6wqqBkUr9V3nqjk2hgH
12,L,Trevor Halsall,370,448,-78,,https://woogles.io/anno/RiwaTahqSFM54yoAxjTEgp
13,L,Vannitha Balasingam,504,526,-22,,
14,L,Unknown,468,478,-10,,
15,W,Lukeman Owolabi 2,484,401,83,,
16,L,Suyash Manchali,394,427,-33,,
17,W,Natalie Zolty,588,377,211,,
18,W,Samson Okosagah,442,364,78,,
19,W,Jack Moran,478,396,82,,
20,W,Ming Hui Hubert Wee,387,419,-32,,
21,W,Dean Saldanha 2,462,325,137,,
22,W,Waseem Khatri,425,441,-16,,
23,L,Ricky Purnomo,417,480,-63,,
24,W,Ming Hui Hubert Wee 2,433,531,-98,,
25,L,Doko Oluwatimilehin,444,465,-21,,
26,W,Akegapun Erbprasartsook,510,445,65,,
27,W,Russell Honeybun,481,401,80,,
28,W,Charles Carneiro,493,437,56,,
29,W,Suyash Manchali 2,423,389,34,,
30,L,Alexander Gozali,409,514,-105,,
31,W,Akegapun Erbprasartsook 2,566,502,64,,
32,W,Kian Boon Liew,517,515,2,,
33,W,Sanhanat Klanying,472,358,114,,
34,W,Josh Watt,435,257,178,,
35,L,Komol Panyasophonlert 2,340,512,-172,,
36,W,Josh Watt 2,653,382,271,,
