round,result,opponent,player_score,opponent_score,spread,youtube_link,woogles_annotation
1,W,Rasheed Balogun,479,352,127,https://www.youtube.com/watch?v=C3dtGO9d7FY,https://woogles.io/anno/RhyYPyRND3fAkAm8LG9yzk
1,W,Rasheed Balogun,479,352,127,,
2,W,Weibin Toh,410,505,-95,,https://woogles.io/anno/RhyYPyRND3fAkAm8LG9yzk
3,W,David Eldar,451,323,128,,https://woogles.io/anno/NDKRT4kTYB66T43fDHQdhD
4,L,Vannitha Balasingam,476,503,-27,,
5,W,Jesse Day,487,468,19,,
6,L,Piotr Andronowski,444,459,-15,,
7,W,Unknown,430,414,16,,
8,W,Odette Rio,495,348,147,,
9,W,Rik Kennedy,456,439,17,,
10,L,Irfan Siddiqui,375,381,-6,,
11,L,Rasheed Balogun 2,302,446,-144,,
12,W,Vannitha Balasingam 2,434,359,75,,
13,W,Suyash Manchali,529,282,247,,
14,L,Brian Po,368,480,-112,,
15,W,CharnwitS Sukhumrattanaporn,507,375,132,,
16,W,Rik Kennedy 2,503,420,83,,
17,W,Unknown,539,446,93,,
18,W,Cameron Farlow,487,480,7,,http://woogles.io/anno/UdHdzwDiksvcqyiuS72KTz
19,W,Napat Vatjaranurathorn,429,399,30,https://www.youtube.com/watch?v=C3dtGO9d7FY,http://woogles.io/anno/4DipQPcC8GnfaM3Gba5mnH
20,L,Jason Keller,372,389,-17,https://www.youtube.com/watch?v=MbcEyhoqyxU,http://woogles.io/anno/WtX6vui2wWQMp2DBFZNdyf
21,W,Irfan Siddiqui 2,471,389,82,,http://woogles.io/anno/ZT5YWfyyBBwHutZAwyjynW
22,W,Andrew Fisher,421,333,88,,http://woogles.io/anno/QyLJ2T4HdbdffLsNR4oBbe
23,W,Brian Po 2,423,338,85,,http://woogles.io/anno/5He4JvGwivJmXibKX3nGRX
24,L,Madhav Gopal Kamath,380,460,-80,https://www.youtube.com/watch?v=tmfMyjg1ksQ,http://woogles.io/anno/P8uvjdRMKciAFrwSP5qNLa
25,W,Dave Wiegand,463,396,67,https://www.youtube.com/watch?v=nfW9tm7wUMU,http://woogles.io/anno/fuPZVRssHvdoMgZCVnYFNL
26,L,Jason Keller 2,352,427,-75,https://www.youtube.com/watch?v=aKjBbPT2Sws,http://woogles.io/anno/2ThfBnN2GVto9j8hgHyoXh
27,L,Joshua Castellano,423,542,-119,https://www.youtube.com/watch?v=N-hSJPA02S0,http://woogles.io/anno/RSDKxXhArubw6mPna4BnU7
28,W,David Eldar 2,473,425,48,,http://woogles.io/anno/azEQoiA7GVnwK6mtbbD827
29,W,Napat Vatjaranurathorn 2,416,341,75,,http://woogles.io/anno/XfTFJsfwQnc5UeTZG3qRSk
30,L,Thacha Koowirat,342,457,-115,,http://woogles.io/anno/c2bMpyGN5CCTgFqSiYbcdZ
31,L,Aditya Iyengar,336,549,-213,,
32,L,Napat Vatjaranurathorn 3,362,543,-181,,
33,W,Michael Gongolo,407,391,16,,
34,L,Nigel Richards,405,492,-87,,
35,L,Michael Gongolo 2,437,539,-102,,
36,L,Unknown,403,444,-41,,
