round,result,opponent,player_score,opponent_score,spread,youtube_link,woogles_annotation
1,W,Darren Khoo,16,20,-4,,
1,L,Darren Khoo,438,452,-14,,
1,L,Darren Khoo,438,452,-14,,
2,W,David Webb,418,397,21,,
3,L,Aditya Iyengar,417,423,-6,,
4,L,Irfan Siddiqui,368,435,-67,,
5,L,Udayan Grover,255,607,-352,,
6,W,Siu Hean Cheah,547,409,138,,
7,L,Jason Carney,390,398,-8,,
8,W,Sherwin Rodrigues,475,466,9,,
9,W,J Jeyaseelan,398,357,41,,
10,L,Sanhanat Klanying,403,406,-3,,
11,L,Nopparuj Tipkaew,351,508,-157,,
12,L,Sanhanat Klanying 2,402,494,-92,,
13,W,Waseem Khatri,373,498,-125,,
14,L,Orlet Bullock,354,480,-126,,
15,W,Thomson Law,420,391,29,,
16,W,Mike Baron,464,367,97,,
17,W,Siddharth Nithyanand,389,382,7,,
18,W,Norases Vesdapunt,460,351,109,,
19,L,Doko Oluwatimilehin,406,482,-76,,
20,L,Chock Heng Kong,397,433,-36,,
21,L,Akegapun Erbprasartsook,318,440,-122,,
22,W,Norases Vesdapunt 2,535,354,181,,
23,L,Apirat Choomai,406,449,-43,,
24,L,Jack Moran,387,445,-58,,
25,L,Samuel Crispin,416,487,-71,,
26,L,Sanjoy Gupta,413,490,-77,,
27,W,J Jeyaseelan 2,420,358,62,,
28,W,Mike Baron 2,434,283,151,,
29,L,Thomson Law 2,421,427,-6,,
30,W,Gerry Carter,507,329,178,,
31,W,Natthakorn Siriwatthanaphongsa,449,444,5,,
32,W,Jason Carney 2,464,365,99,,
33,W,Thomson Law 3,428,424,4,,
34,L,Marlon Prudencio,404,552,-148,,
35,L,Ezinore George,417,438,-21,,
36,W,Jason Carney 3,498,393,105,,
