round,result,opponent,player_score,opponent_score,spread,youtube_link,woogles_annotation
1,W,Ming Hui Hubert Wee,515,381,134,https://youtu.be/dI7ziEulW-M?si=AeZV6xzTsuGL2c8h,https://woogles.io/anno/JGMhfSmywdoaTBPrwd5nPQ
1,W,Ming Hui Hubert Wee,515,381,134,https://youtu.be/dI7ziEulW-M?si=AeZV6xzTsuGL2c8h,https://woogles.io/anno/JGMhfSmywdoaTBPrwd5nPQ
2,L,Rob Robinsky,332,462,-130,,
3,L,Thacha Koowirat,443,449,-6,,https://woogles.io/anno/75TSE5bCdVjKehR5QVGkeR
4,W,Kian Boon Liew,467,412,55,,
5,W,Sujana Somasekar,432,349,83,,
6,W,Udayan Grover,469,260,209,,
7,W,Suyash Manchali,454,410,44,,
8,L,Rasheed Balogun,418,474,-56,,https://woogles.io/anno/KZBUdh2nvKhw8sq9BrMxvB
9,L,David Eldar,341,457,-116,,https://woogles.io/anno/B8QpkT2uBzyiwjSeQQCP8L
10,W,Natthakorn Siriwatthanaphongsa,460,406,54,,
11,L,Alexander Gozali,439,447,-8,,
12,L,Irfan Siddiqui,393,484,-91,,
13,W,Samrath Singh Bhatia,546,320,226,,
14,W,Edward Okulicz,502,443,59,,
15,L,Rik Kennedy,450,473,-23,,
16,W,Vannitha Balasingam,460,419,41,,
17,L,Soramet Mettaviharee,369,409,-40,,
18,W,Russell Honeybun,467,365,102,,
19,L,Nigel Richards,418,520,-102,,
20,L,Aditya Iyengar,389,412,-23,,
21,L,Siu Hean Cheah,418,490,-72,,
22,W,Suyash Manchali 2,500,360,140,,
23,L,Jason Carney,376,438,-62,,
24,L,Odette Rio,332,466,-134,,
25,W,Jack Moran,447,363,84,,
26,L,Pesol Kosalakood,442,471,-29,,
27,W,Ezinore George,484,436,48,,
28,L,Austin Shin,437,493,-56,,
29,W,Sujana Somasekar 2,502,465,37,,
30,W,Waseem Khatri,370,506,-136,,
31,L,Suyash Manchali 3,268,476,-208,,
32,L,Jack Moran 2,458,468,-10,,
33,L,Lukeman Owolabi,388,532,-144,,
34,L,Apirat Choomai,385,425,-40,,
35,W,CharnwitI Iamudom,448,433,15,,
36,W,Thomson Law,455,432,23,,
