round,result,opponent,player_score,opponent_score,spread,youtube_link,woogles_annotation
1,L,Nigel Richards,461,510,-49,https://youtu.be/l1tEjRzvgKo?si=Lfi3YxK1IVHyq6hl,https://woogles.io/anno/MU5hAJj4yWe5K5EDV9xJNS
1,L,Nigel Richards,461,510,-49,https://youtu.be/l1tEjRzvgKo?si=Lfi3YxK1IVHyq6hl,https://woogles.io/anno/MU5hAJj4yWe5K5EDV9xJNS
2,L,Odette Rio,416,510,-94,,
3,L,Gerry Carter,427,453,-26,,
4,W,Jack Moran,455,429,26,,
5,W,Mike Baron,557,326,231,,
6,W,Apirat Choomai,491,477,14,,
7,L,Sujana Somasekar,402,508,-106,,
8,L,Unknown,436,436,0,,
9,W,Ming Hui Hubert Wee,437,441,-4,,
10,L,Samrath Singh Bhatia,379,456,-77,,
11,L,Unknown,402,405,-3,,
12,W,Anthony Ikolo,400,326,74,,
13,L,Thomson Law,380,417,-37,,
14,L,Jimoh Abdulmumin,453,480,-27,,
15,L,Gerry Carter 2,345,496,-151,,
16,L,Norases Vesdapunt,392,441,-49,,
17,W,J Jeyaseelan,398,387,11,,
18,W,Apirat Choomai 2,484,471,13,,
20,L,Marlon Prudencio,345,494,-149,,
21,W,Gerry Carter 3,431,344,87,,
22,W,Apirat Choomai 3,462,421,41,,
23,L,Anthony Ikolo 2,373,477,-104,,
24,L,Edward Okulicz,459,485,-26,,
25,W,Chock Heng Kong,476,363,113,,
26,L,Norases Vesdapunt 2,398,473,-75,,
27,L,Marlon Prudencio 2,413,552,-139,,
28,W,Thitipol Barameemuang,526,411,115,,
29,W,Unknown,,,,,
30,L,Ishika Shivalingaiah,440,454,-14,,
31,L,Thomson Law 2,465,476,-11,,
32,W,Orlet Bullock,417,373,44,,
33,W,Ryan Wee,392,534,-142,,
34,W,Russell Honeybun,425,328,97,,
35,L,Charles Carneiro,433,448,-15,,
36,L,Sanjoy Gupta 2,395,539,-144,,
