round,result,opponent,player_score,opponent_score,spread,youtube_link,woogles_annotation
1,W,Norases Vesdapunt,407,406,1,https://youtu.be/h8rWRhBaxxk?si=qM74REOfr5Ua9OPG,https://woogles.io/anno/ScfN4FEWLz25uCFWjqxKRP
1,W,Norases Vesdapunt,407,406,1,,
2,W,Samrath Singh Bhatia,508,494,14,,
3,W,Rob Robinsky,410,329,81,,
4,L,Napat Vatjaranurathorn,405,432,-27,,https://woogles.io/anno/ScfN4FEWLz25uCFWjqxKRP
5,W,Natalie Zolty,503,425,78,,https://woogles.io/anno/g6dor6XhivqAMgLgYXG7kg
6,W,Thomson Law,463,447,16,,
7,W,Natthakorn Siriwatthanaphongsa,530,404,126,,https://woogles.io/anno/cRTEuG79JW2HXPkK8murxV
8,L,Andrew Fisher,461,552,-91,,https://woogles.io/anno/VD7qEpDPVptwo5nXUvLPHc
9,L,Akshay Bhandarkar,388,404,-16,https://youtu.be/h8rWRhBaxxk?si=qM74REOfr5Ua9OPG,https://woogles.io/anno/hPci79xLGtsgw9A92SWseS
10,W,Puttapong Moonsarn,485,407,78,,https://woogles.io/anno/2BBb4Abr9oycHEZC3NFBfY
11,L,Unknown,100,100,0,,
12,W,Dave Wiegand,335,538,-203,,https://woogles.io/anno/MC9phn3PJgdnRMnCpgbLdF
13,L,Jesse Day,381,481,-100,,http://woogles.io/anno/iyqKS5dQbdUomqXykVwWxX
14,W,David Webb,506,383,123,,
15,L,Chaiyottha Manachaisit,375,507,-132,,
16,W,Russell Honeybun,536,378,158,,
17,W,Sanhanat Klanying,442,411,31,,
18,L,Piotr Andronowski,445,484,-39,,
19,W,Jakkrit Klaphajone,555,442,113,,
20,W,Harshan Lamabadusuriya,453,388,65,,
21,L,Joshua Castellano,428,487,-59,,
22,W,Aditya Iyengar,495,430,65,,
23,L,Cameron Farlow,425,461,-36,,
24,W,Jimoh Abdulmumin,457,418,39,,
25,L,Panupol Sujjayakorn,341,468,-127,,
26,W,Kian Boon Liew,441,436,5,,
27,L,Michael Gongolo,437,529,-92,,
28,L,Nuti Suri,375,477,-102,,
29,W,Piotr Andronowski 2,402,348,54,,
30,L,Natalie Zolty 2,381,501,-120,,
31,L,Siu Hean Cheah,338,529,-191,,
32,L,Piotr Andronowski 3,407,464,-57,,
33,L,Trevor Halsall,464,534,-70,,
34,L,Anthony Ikolo,419,544,-125,,
35,W,Vannitha Balasingam,475,391,84,,
36,L,Lukeman Owolabi,439,490,-51,,
