round,result,opponent,player_score,opponent_score,spread,youtube_link,woogles_annotation
1,W,Ben Schoenbrun,449,389,60,https://youtu.be/Ud_k0Sp_SDs?si=zu7v4PvQ8jNo4-DC,https://woogles.io/anno/UW3MMJWiuanyjAe42qM7kc
1,W,Ben Schoenbrun,449,389,60,,
2,W,Ezinore George,183,100,83,,
3,L,Madhav Gopal Kamath,356,499,-143,https://youtu.be/Ud_k0Sp_SDs?si=zu7v4PvQ8jNo4-DC,https://woogles.io/anno/UW3MMJWiuanyjAe42qM7kc
4,L,Puttapong Moonsarn,367,433,-66,,
5,L,Rob Robinsky,420,431,-11,,
6,L,Russell Honeybun,373,643,-270,,
7,L,Norases Vesdapunt,324,428,-104,,
8,W,David Webb,372,489,-117,,
9,W,Sanhanat Klanying,463,373,90,,
10,W,Waseem Khatri,493,367,126,,
11,L,Sanhanat Klanying 2,411,521,-110,,
12,L,Samson Okosagah,450,472,-22,,
13,L,Ishika Shivalingaiah,406,449,-43,,
14,W,Norases Vesdapunt 2,405,343,62,,
15,W,Marlon Prudencio,526,409,117,,
16,W,Siddharth Nithyanand,586,435,151,,
17,L,Jack Moran,319,459,-140,,
18,W,Rob Robinsky 2,491,379,112,,
19,L,Sherwin Rodrigues,366,480,-114,,
20,W,Charae Worapotpisut,433,397,36,,
21,L,Sanhanat Klanying 3,388,488,-100,,
22,L,Nopparuj Tipkaew,281,420,-139,,
23,L,Akegapun Erbprasartsook,421,454,-33,,
24,L,Marlon Prudencio 2,342,424,-82,,
25,L,CharnwitI Iamudom,363,476,-113,,
26,L,Samuel Crispin,366,412,-46,,
27,W,Sanjoy Gupta,452,402,50,,
28,W,Unknown,,,,,
29,L,Mike Baron,381,508,-127,,
30,L,J Jeyaseelan,429,553,-124,,
32,W,J Jeyaseelan 2,501,456,45,,
33,L,Natthakorn Siriwatthanaphongsa,448,538,-90,,
34,W,Siddharth Nithyanand 2,420,396,24,,
35,L,Sanjoy Gupta 2,383,431,-48,,
36,L,J Jeyaseelan 3,362,477,-115,,
