round,result,opponent,player_score,opponent_score,spread,youtube_link,woogles_annotation
1,W,Edward Okulicz,447,405,42,,https://woogles.io/anno/GoE5io2sYQnQYedCqrFsJK
1,W,Edward Okulicz,447,405,42,,https://woogles.io/anno/GoE5io2sYQnQYedCqrFsJK
2,W,Rik Kennedy,397,368,29,,
3,L,Natthakorn Siriwatthanaphongsa,388,488,-100,,https://woogles.io/anno/Nzk23jVjACNvtHwcS8Lqio
4,W,Natalie Zolty,529,382,147,,https://woogles.io/anno/B7gBQBdDAno3iMywEjqQQV
5,L,Suyash Manchali,422,471,-49,,
6,W,Jakkrit Klaphajone,511,409,102,,https://woogles.io/anno/SzpPd8SBiBW7TNxJZKSFqF
7,L,Chaiyottha Manachaisit,414,430,-16,,
8,W,Russell Honeybun,454,449,5,,https://woogles.io/anno/U5mAKTSQwjqtw9VnwGk3Qm
9,W,Lukeman Owolabi,468,397,71,,
10,L,Jesse Day,371,397,-26,,
11,L,Russell Honeybun 2,391,432,-41,,
12,L,Kian Boon Liew,404,647,-243,,
13,L,Irfan Siddiqui,394,549,-155,,
14,W,Harshan Lamabadusuriya,417,388,29,,
15,W,Ezinore George,426,358,68,,
16,L,Alexander Gozali,357,472,-115,,
17,L,Jakkrit Klaphajone 2,430,448,-18,,
18,W,Jesse Day 2,479,476,3,,
19,L,Jason Carney,378,431,-53,,
20,W,Rik Kennedy 2,509,412,97,,
21,L,Harshan Lamabadusuriya 2,380,603,-223,,
22,L,Natalie Zolty 2,357,366,-9,,
23,W,Nopparuj Tipkaew,542,418,124,,
24,W,Rob Robinsky,456,441,15,,
25,W,Ezinore George 2,592,359,233,,
26,L,Jakkrit Klaphajone 3,364,467,-103,,
27,W,Unknown,498,366,132,,
28,W,Sanhanat Klanying,454,418,36,,
29,W,William Kang,413,353,60,,
30,W,Jimoh Abdulmumin,610,348,262,,
31,L,Nigel Richards,337,474,-137,,
32,L,Jimoh Abdulmumin 2,425,537,-112,,
33,W,Jakkrit Klaphajone 4,487,446,41,,
34,W,Darren Khoo,429,394,35,,
35,L,Nuti Suri,374,428,-54,,
36,W,Siu Hean Cheah,464,384,80,,
