round,result,opponent,player_score,opponent_score,spread,youtube_link,woogles_annotation
1,W,Charae Worapotpisut,452,438,14,https://youtu.be/ac6bIWfyRaA?si=Ge8d96aCfP554HO1,https://woogles.io/anno/j8jTVvGCLys5DpKEq2wLnn
1,W,Charae Worapotpisut,452,438,14,,
2,W,Pesol Kosalakood,556,381,175,,
3,W,David Webb,477,394,83,,
4,W,Odette Rio,603,469,134,,https://woogles.io/anno/j8jTVvGCLys5DpKEq2wLnn
5,L,Trevor Halsall,447,494,-47,,https://woogles.io/anno/XDtu4qg5KwRrgeNSGPes82
6,L,Napat Vatjaranurathorn,473,508,-35,https://youtu.be/ac6bIWfyRaA?si=Ge8d96aCfP554HO1,https://woogles.io/anno/bVKJ4c6Ri47tjeUfESkugE
7,L,Andrew Fisher,382,480,-98,,https://woogles.io/anno/hfjpHFxx8cesQ8FzMEMGTx
8,W,Natalie Zolty,552,401,151,,https://woogles.io/anno/UydAM3jiQ2QkDACBwMwhLN
9,W,Natthakorn Siriwatthanaphongsa,604,356,248,,
10,L,Komol Panyasophonlert,436,493,-57,,
11,W,Panupol Sujjayakorn,462,444,18,,https://woogles.io/anno/kxEoxYEJfzAPokc6QAHqEn
12,W,Soramet Mettaviharee,505,387,118,,
13,W,Rob Robinsky,424,399,25,,http://woogles.io/anno/KntxRV5BuJQy3rMkEaWoyq
14,L,Andrew Fisher 2,355,472,-117,,http://woogles.io/anno/QSZUV2De8qT5kPXzoA57Lo
15,W,Ricky Purnomo,485,380,105,,http://woogles.io/anno/PN9MacBkYYA7em85RMpLWA
16,W,Puttapong Moonsarn,451,421,30,,http://woogles.io/anno/mrVecWBQH9FfaZT8ugfUuJ
17,W,Ben Schoenbrun,381,373,8,https://www.youtube.com/watch?v=m8ukOmFVaF0,http://woogles.io/anno/m2BoMHLF5GbkhneJva3BKh
18,W,Josh Watt,438,431,7,,http://woogles.io/anno/fWAvevHeF3Txct8q3RKdEY
19,L,Jason Keller,442,459,-17,https://www.youtube.com/watch?v=flmhjOmoi1M,http://woogles.io/anno/T6qqcLX3Gf4xCcr4cXfMEy
20,W,Dave Wiegand,478,372,106,https://www.youtube.com/watch?v=nKwSWrl4LNE&pp=0gcJCR4LAYcqIYzv,http://woogles.io/anno/a9yCw9k679tA77Fnk8C2tj
21,L,Panupol Sujjayakorn 2,404,426,-22,https://www.youtube.com/watch?v=aIHhLDifi5c,http://woogles.io/anno/UchNTiu8WJzffiSuaFSgfC
22,W,Jason Keller 2,556,371,185,https://www.youtube.com/watch?v=5HzuqWQRlNQ,http://woogles.io/anno/CFCvYBZfVonqWy6tSaZarj
23,L,Komol Panyasophonlert 2,421,435,-14,https://www.youtube.com/watch?v=_ykzRkKB7BM,http://woogles.io/anno/DfBTJYj8FHeLVR86pbkmyZ
24,W,Dave Wiegand 2,321,438,-117,https://www.youtube.com/watch?v=ZJsig6FyeKQ,http://woogles.io/anno/HuokxSAhxguBWwxhidSUhz
25,W,Brian Po,537,288,249,,http://woogles.io/anno/9zkoitBwkTrbrwJEuSN2eo
26,L,Andrew Fisher 3,300,495,-195,,http://woogles.io/anno/8TGfU7sUvNuUWdPqCFYxNC
27,L,Madhav Gopal Kamath,380,599,-219,https://www.youtube.com/watch?v=R2bReIoNSUE,http://woogles.io/anno/67DoYy8hTzvzbrZUJg46oR
28,L,Aditya Iyengar,435,495,-60,,http://woogles.io/anno/jvninuwcSzHfkJEHGGPhpw
29,W,Akshay Bhandarkar,604,511,93,,http://woogles.io/anno/Mnr7rbuUPBWNcVWkdC4D78
30,W,Nuti Suri,540,402,138,,
31,L,Napat Vatjaranurathorn 2,397,494,-97,,
32,L,Panupol Sujjayakorn 3,400,539,-139,,
33,L,Jimoh Abdulmumin,431,550,-119,,
34,L,Unknown,394,429,-35,,
35,L,Udayan Grover,393,469,-76,,
36,W,Rob Robinsky 2,459,354,105,,
