round,result,opponent,player_score,opponent_score,spread,youtube_link,woogles_annotation
1,W,Austin Shin,23,13,-13,https://youtu.be/MpaE_7LSqRo?si=2vyV740GZ1cTReuD,https://woogles.io/anno/hLtBYUq8YQgasZNQb3nTxt
1,W,Austin Shin,498,452,-452,https://youtu.be/MpaE_7LSqRo?si=2vyV740GZ1cTReuD,https://woogles.io/anno/hLtBYUq8YQgasZNQb3nTxt
1,W,Austin Shin,498,452,-452,,
2,W,Mike Baron,455,296,-296,,
3,W,Nuti Suri,526,392,-392,,https://woogles.io/anno/hLtBYUq8YQgasZNQb3nTxt
4,W,Thomson Law,437,427,-427,https://youtu.be/MpaE_7LSqRo?si=2vyV740GZ1cTReuD,https://woogles.io/anno/ZRuPiqziPEZJ8pKQa9wnPC
5,W,Thacha Koowirat,503,433,-433,https://youtu.be/iBKn0rm31u0?si=qHToJFy39bv_HGBf,https://woogles.io/anno/KBBicQijGqo6oK9E53xBmj
6,W,Natthakorn Siriwatthanaphongsa,556,430,-430,https://youtu.be/oZuaAeeYtM8?si=xRuPx5_uRw7Y3kff,https://woogles.io/anno/EriFu6vjpGsLnYbsTCdzbp
7,L,Akshay Bhandarkar,410,462,-462,https://youtu.be/icOvlQTx6RQ?si=B1EEDcsduAq5dOdK,https://woogles.io/anno/FiQdVhwvDicFLgSsuReeKN
8,L,Napat Vatjaranurathorn,417,468,-468,https://youtu.be/dnVPiEEbOyA?si=DGmsEssDPLZZw_4h,https://woogles.io/anno/DttdhDUzDhgfA23WFRVa2N
9,L,Cameron Farlow,443,445,-445,https://youtu.be/AfqogaWpFeg?si=56Zp-RR-l01I-jcb,https://woogles.io/anno/VXEkXXkVhy3Vw2hptvFTeL
10,W,Madhav Gopal Kamath,427,403,-403,https://youtu.be/Eno0DTq2HCg?si=bMLPeCIn_JUEXn3U,https://woogles.io/anno/DA8jV3K9eGCM3BGFvf4NHp
11,W,Puttapong Moonsarn,423,390,-390,,https://woogles.io/anno/iRJD9pHtbJJZEQQ7vUeYfR
12,W,CharnwitS Sukhumrattanaporn,538,335,-335,,https://woogles.io/anno/MC9phn3PJgdnRMnCpgbLdF
13,W,Soramet Mettaviharee,534,476,-476,,http://woogles.io/anno/e8TjcYPA8iTheR3qqzu2wi
14,W,Nigel Richards,465,410,-410,,http://woogles.io/anno/XQHKdTsnweEmZxecHmUSLC
15,W,Ben Schoenbrun,436,412,-412,https://www.youtube.com/watch?v=07nfP9h3y0M,http://woogles.io/anno/L6DWLHP8STntQmr4WdVPHZ
16,W,Napat Vatjaranurathorn 2,574,346,-346,https://www.youtube.com/watch?v=2CYx3sKcTf8,http://woogles.io/anno/5yqSrs5DWKRakEoFYnF3Rr
17,W,Josh Watt,440,414,-414,https://www.youtube.com/watch?v=6VrgGttEYK8,http://woogles.io/anno/8ttNrcPMtEDKnx8Hncbt2S
18,W,Jason Keller,555,372,-372,https://www.youtube.com/watch?v=NQa1QKUeMBM,http://woogles.io/anno/bZQgd85tcKnux4uk6UYRqR
19,L,Madhav Gopal Kamath 2,410,433,-433,https://www.youtube.com/watch?v=IkvXKSp5BMQ,http://woogles.io/anno/NH5qozrvbEG9uk8QeuBpKg
20,L,Darren Khoo,372,478,-478,https://www.youtube.com/watch?v=nKwSWrl4LNE&pp=0gcJCR4LAYcqIYzv,http://woogles.io/anno/a9yCw9k679tA77Fnk8C2tj
21,W,Jason Keller 2,489,480,-480,https://www.youtube.com/watch?v=Ng4Y53BwevU,http://woogles.io/anno/2ngt3eQ2zCYfyqhr9CLK9Y
22,W,Akshay Bhandarkar 2,416,414,-414,,http://woogles.io/anno/eeo7jg9wdbUo3E3NJTwz5S
23,L,Madhav Gopal Kamath 3,340,563,-563,https://www.youtube.com/watch?v=mvOIiybj1ZA,http://woogles.io/anno/XqDtpifFPGdYBjWedkGs8L
24,W,Darren Khoo 2,438,321,-321,https://www.youtube.com/watch?v=ZJsig6FyeKQ,http://woogles.io/anno/HuokxSAhxguBWwxhidSUhz
25,L,Chaiyottha Manachaisit,396,463,-463,https://www.youtube.com/watch?v=nfW9tm7wUMU,http://woogles.io/anno/fuPZVRssHvdoMgZCVnYFNL
26,L,Thacha Koowirat 2,388,394,-394,https://www.youtube.com/watch?v=BZ90P_1ChJY,http://woogles.io/anno/BSeLEyDvaNsVJTckZLU7En
27,L,David Eldar,448,480,-480,https://www.youtube.com/watch?v=ZyVI9tjwTMQ,http://woogles.io/anno/FXxEMUEvLKGkvoFjcizchV
28,W,Andrew Fisher,442,428,-428,https://www.youtube.com/watch?v=wEzhKC0pbRY,http://woogles.io/anno/Gx6mM5j66RpH75axnC29Kq
29,L,Joshua Castellano,381,491,-491,https://www.youtube.com/watch?v=saXKDOoT2fg,http://woogles.io/anno/2S9queP6yUPVqciX2JMbpN
30,W,Harshan Lamabadusuriya,554,492,-492,https://www.youtube.com/watch?v=_kF0e7UnO88,http://woogles.io/anno/YPxDfwBFmB8RefX4nrAo5x
31,W,Jason Keller 3,413,396,-396,,
32,W,Thacha Koowirat 3,523,394,-394,,
33,L,Joshua Castellano 2,458,470,-470,,
34,W,Madhav Gopal Kamath 4,444,294,-294,,
35,L,David Eldar 2,391,429,-429,,
36,L,Joshua Castellano 3,437,467,-467,,
