round,result,opponent,player_score,opponent_score,spread,youtube_link,woogles_annotation
1,W,Siddharth Nithyanand,475,434,41,https://youtu.be/cse0kfEPDio?si=GI3DRVGxZkDqA_xs,https://woogles.io/anno/dSdarPSBbWMs7TD6oQuMQ7
1,W,Siddharth Nithyanand,475,434,41,https://youtu.be/cse0kfEPDio?si=GI3DRVGxZkDqA_xs,https://woogles.io/anno/dSdarPSBbWMs7TD6oQuMQ7
2,W,William Kang,463,437,26,,
3,L,Chaiyottha Manachaisit,323,451,-128,,https://woogles.io/anno/NDKRT4kTYB66T43fDHQdhD
4,W,Thacha Koowirat,420,407,13,,https://woogles.io/anno/8HZVcNVMh2pRETzjUnTykF
5,W,Samuel Crispin,523,344,179,,
6,L,Rob Robinsky,407,487,-80,,
7,W,Alexander Gozali,544,416,128,,https://woogles.io/anno/dNKd55npoWb2nB4MCdqsTd
8,L,Natthakorn Siriwatthanaphongsa,430,484,-54,,
9,W,Charles Carneiro,457,341,116,,https://woogles.io/anno/B8QpkT2uBzyiwjSeQQCP8L
10,W,Edward Okulicz,568,316,252,,
11,W,Unknown,,,,,
12,W,Rob Robinsky 2,536,423,113,,https://woogles.io/anno/G7GKUmuikUNHcoM8yeVbvA
13,W,Andrew Fisher,495,391,104,https://www.youtube.com/watch?v=2F2EJ38FAWk,http://woogles.io/anno/iR8uFf532xeLoSKHgGh4zq
14,W,Josh Watt,447,548,-101,https://www.youtube.com/watch?v=zoLevLLs3PM&pp=0gcJCR4LAYcqIYzv,http://woogles.io/anno/MrLojbgFjAsfr6TA4MvPHT
15,L,Madhav Gopal Kamath,506,513,-7,https://www.youtube.com/watch?v=_59FWagMdwY,http://woogles.io/anno/5E6aawykePXvgtWu8ZfiVg
16,W,Komol Panyasophonlert,426,380,46,https://www.youtube.com/watch?v=LIVu9S8RnGw,http://woogles.io/anno/X7TdNTCd6fdGHJ8dZfzo6G
17,L,Jason Keller,375,442,-67,,http://woogles.io/anno/TmVAyxU6Ms97Js3dwdA9qB
18,W,Napat Vatjaranurathorn,491,309,182,https://www.youtube.com/watch?v=R3T3FM2X2-A,http://woogles.io/anno/B5WLNNdBczhGnEf6VMojej
19,L,Joshua Castellano,324,499,-175,,http://woogles.io/anno/VdnW3BsorEwKJRXmDj4MGW
20,L,Akshay Bhandarkar,383,450,-67,,http://woogles.io/anno/NhrdE8fsqvkYytAf2fjxoh
21,W,Josh Watt 2,483,502,-19,,
22,W,Nigel Richards,606,378,228,https://www.youtube.com/watch?v=3iLAOx4aeZo&pp=0gcJCR4LAYcqIYzv,http://woogles.io/anno/LzyDmUmS5RBaqhpHwEDu4E
23,W,Jakkrit Klaphajone,533,430,103,,
24,W,Soramet Mettaviharee,509,414,95,,http://woogles.io/anno/PDsLEGAfcdeCEskWYC3r7E
25,W,Thacha Koowirat 2,514,304,210,https://www.youtube.com/watch?v=aUe7Dk9WBVM&pp=0gcJCR4LAYcqIYzv,http://woogles.io/anno/bxJVjoeytnhTRNfU7kCZVa
26,W,Madhav Gopal Kamath 2,525,501,24,https://www.youtube.com/watch?v=w7pUdDe9lAw,http://woogles.io/anno/Hurr2kYRNWwqDiHU2QLxa5
27,W,Dave Wiegand,480,448,32,https://www.youtube.com/watch?v=ZyVI9tjwTMQ,http://woogles.io/anno/FXxEMUEvLKGkvoFjcizchV
28,L,Chaiyottha Manachaisit 2,425,473,-48,,http://woogles.io/anno/azEQoiA7GVnwK6mtbbD827
29,W,Jason Keller 2,427,416,11,https://www.youtube.com/watch?v=budKktdzQKs,http://woogles.io/anno/Q4aFf9uzVQN5sdVJ5KGBDT
30,W,Akshay Bhandarkar 2,448,428,20,,http://woogles.io/anno/JvJMAPdeVYYXWicnDLZeyM
31,W,Joshua Castellano 2,531,442,89,,
32,W,Madhav Gopal Kamath 3,437,405,32,,
33,W,Madhav Gopal Kamath 4,498,365,133,,
34,W,Joshua Castellano 3,569,391,178,,
35,W,Dave Wiegand 2,429,391,38,,
36,W,Unknown,,,,,
