round,result,opponent,player_score,opponent_score,spread,youtube_link,woogles_annotation
1,W,Aditya Iyengar,19,17,2,,http://woogles.io/anno/krzEwVqi7M5tn8mzW7VZU6
1,W,Aditya Iyengar,456,371,85,,http://woogles.io/anno/krzEwVqi7M5tn8mzW7VZU6
1,W,Aditya Iyengar,456,371,85,,
2,W,Charae Worapotpisut,397,418,-21,,
3,L,Darren Khoo,394,477,-83,,
4,W,Piotr Andronowski,466,405,61,,
5,L,Siu Hean Cheah,318,403,-85,,
6,L,Odette Rio,328,429,-101,,
7,W,J Jeyaseelan,431,340,91,,
8,W,Chock Heng Kong,489,372,117,,
9,W,Samuel Crispin,408,399,9,,
10,W,Brian Po,489,400,89,,
11,W,Jason Carney,407,337,70,,
12,W,Weibin Toh,410,438,-28,,
13,L,Madhav Gopal Kamath,427,453,-26,,http://woogles.io/anno/krzEwVqi7M5tn8mzW7VZU6
14,L,CharnwitS Sukhumrattanaporn,383,506,-123,,
15,W,Pesol Kosalakood,425,371,54,,
16,L,Euclid Hui,407,544,-137,,
17,L,Harshan Lamabadusuriya,327,540,-213,,
18,L,Aditya Iyengar 2,277,477,-200,,
19,W,Nopparuj Tipkaew,519,372,147,,
20,W,Rob Robinsky,451,428,23,,
21,W,Unknown,,,,,
22,L,Jason Carney 2,411,441,-30,,
23,L,Kian Boon Liew,409,430,-21,,
24,W,Nopparuj Tipkaew 2,455,437,18,,
25,W,Sanhanat Klanying,414,394,20,,
26,L,Ezinore George,455,472,-17,,
27,W,Weibin Toh 2,547,364,183,,
28,W,Ryan Wee,468,362,106,,
29,W,Waseem Khatri,368,505,-137,,
30,L,Siu Hean Cheah 2,445,527,-82,,
31,W,Odette Rio 2,471,405,66,,
32,L,Jakkrit Klaphajone,449,494,-45,,
33,W,Samuel Crispin 2,411,396,15,,
34,W,Irfan Siddiqui,487,305,182,,
35,W,Piotr Andronowski 2,448,405,43,,
36,W,Weibin Toh 3,375,437,-62,,
