round,result,opponent,player_score,opponent_score,spread,youtube_link,woogles_annotation
1,L,Panupol Sujjayakorn,391,499,-108,,https://woogles.io/anno/QetDCAqYwifbspN5b277kj
1,L,Panupol Sujjayakorn,391,499,-108,,
2,W,Michael Gongolo,411,381,30,,
3,W,Marlon Prudencio,533,375,158,,
4,W,Rik Kennedy,458,349,109,,
5,W,Unknown,515,433,82,,
6,L,Andrew Fisher,326,477,-151,,
7,L,Austin Shin,286,429,-143,,https://woogles.io/anno/QetDCAqYwifbspN5b277kj
8,L,Madhav Gopal Kamath,374,451,-77,,
9,L,Piotr Andronowski,374,506,-132,,
10,W,Harshan Lamabadusuriya,436,396,40,,
11,L,Natalie Zolty,397,471,-74,,
12,W,Sujana Somasekar,472,409,63,,
13,L,Sanhanat Klanying,408,465,-57,,
14,W,Ezinore George,437,385,52,,
15,L,Jason Carney,438,453,-15,,
16,W,Rob Robinsky,479,466,13,,
17,W,Waseem Khatri,434,498,-64,,
18,W,Nopparuj Tipkaew,449,413,36,,
19,L,Nuti Suri,430,460,-30,,
20,W,Jack Moran,484,335,149,,
21,L,Austin Shin 2,325,462,-137,,
22,W,Pesol Kosalakood,512,364,148,,
23,L,Rob Robinsky 2,388,436,-48,,
24,L,Unknown,324,499,-175,,
25,W,Ryan Wee,396,415,-19,,
26,L,Udayan Grover,411,487,-76,,
27,W,Edward Okulicz,474,415,59,,
28,W,Marlon Prudencio 2,501,319,182,,
29,L,Norases Vesdapunt,395,462,-67,,
30,W,Jack Moran 2,441,422,19,,
31,L,Nopparuj Tipkaew 2,357,512,-155,,
32,W,Ezinore George 2,451,310,141,,
33,W,Nopparuj Tipkaew 3,509,353,156,,
34,W,Puttapong Moonsarn,466,332,134,,
35,L,Rasheed Balogun,392,451,-59,,
36,W,Ricky Purnomo,505,449,56,,
