round,result,opponent,player_score,opponent_score,spread,youtube_link,woogles_annotation
1,L,Orlet Bullock,100,100,0,,
1,L,Unknown,100,100,0,,
2,L,Unknown,100,100,0,,
3,L,Unknown,100,100,0,,
4,L,Unknown,100,100,0,,
5,L,Unknown,100,100,0,,
6,L,Unknown,100,100,0,,
7,L,Orlet Bullock,401,500,-99,,
8,L,Apirat Choomai,390,444,-54,,
9,W,Mike Baron,562,470,92,,
10,L,Thitipol Barameemuang,384,512,-128,,
11,W,Jack Moran,493,339,154,,
12,W,Mike Baron 2,554,293,261,,
13,W,Apirat Choomai 2,485,378,107,,
14,W,Thitipol Barameemuang 2,543,403,140,,
15,W,Samuel Crispin,472,349,123,,
16,W,Sherwin Rodrigues,460,376,84,,
17,L,Lukeman Owolabi,396,475,-79,,
18,L,Jimoh Abdulmumin,316,444,-128,,
19,W,Charae Worapotpisut,482,406,76,,
20,W,Ryan Wee,419,415,4,,
21,W,Lukeman Owolabi 2,512,375,137,,
22,L,Udayan Grover,394,493,-99,,
23,W,Samrath Singh Bhatia,510,363,147,,
24,L,Sherwin Rodrigues 2,402,408,-6,,
25,W,Austin Shin,465,444,21,,
26,W,William Kang,400,470,-70,,
27,W,Euclid Hui,486,430,56,,
28,L,Vannitha Balasingam,377,418,-41,,
29,L,Odette Rio,437,477,-40,,
30,W,Jason Carney,409,393,16,,
31,W,Jack Moran 2,531,420,111,,
32,W,Akegapun Erbprasartsook,488,429,59,,
33,L,Kian Boon Liew,471,555,-84,,
34,L,Ricky Purnomo,422,427,-5,,
35,L,Jack Moran 3,453,486,-33,,
36,W,Rik Kennedy,471,393,78,,
