round,result,opponent,player_score,opponent_score,spread,youtube_link,woogles_annotation
1,L,Josh Watt,405,447,-447,,https://woogles.io/anno/GoE5io2sYQnQYedCqrFsJK
1,L,Unknown,405,447,-447,,https://woogles.io/anno/GoE5io2sYQnQYedCqrFsJK
2,W,Josh Watt,364,467,-467,,
3,W,Samson Okosagah,471,372,-372,,
4,W,Brian Po,465,402,-402,,
5,W,Jack Moran,477,402,-402,,
6,L,Irfan Siddiqui,437,482,-482,,
7,W,Udayan Grover,483,272,-272,,https://woogles.io/anno/dW8XcshxUzAVKxVEkWh6Tg
8,W,Ishika Shivalingaiah,466,394,-394,,
9,L,Natalie Zolty,368,552,-552,,
10,L,David Eldar,316,568,-568,,
11,W,Pesol Kosalakood,496,384,-384,,
12,W,Ming Hui Hubert Wee,388,556,-556,,
13,W,Kian Boon Liew,464,394,-394,,
14,L,Charles Carneiro,443,502,-502,,
15,W,Udayan Grover 2,454,425,-425,,
16,L,Ezinore George,358,401,-401,,
17,L,Panupol Sujjayakorn,296,477,-477,,
18,L,Jason Carney,343,439,-439,,
19,L,Rob Robinsky,326,500,-500,,
20,L,Nuti Suri,325,476,-476,,
21,W,Norases Vesdapunt,516,419,-419,,
22,W,Ryan Wee,450,519,-519,,
23,L,Jack Moran 2,451,565,-565,,
24,W,CharnwitI Iamudom,485,459,-459,,
25,W,Rik Kennedy,473,460,-460,,
26,L,Rasheed Balogun,418,543,-543,,
27,L,Dean Saldanha,415,474,-474,,
28,L,Lukeman Owolabi,363,513,-513,,
29,W,Russell Honeybun,445,440,-440,,
30,L,Thitipol Barameemuang,394,438,-438,,
31,L,Thitipol Barameemuang 2,426,428,-428,,
32,L,Sanjoy Gupta,371,414,-414,,
33,W,J Jeyaseelan,457,430,-430,,
34,W,Orlet Bullock,415,373,-373,,
35,L,Jason Carney 2,367,385,-385,,
36,W,Orlet Bullock 2,445,423,-423,,
