round,result,opponent,player_score,opponent_score,spread,youtube_link,woogles_annotation
1,L,Kian Boon Liew,317,620,-303,https://youtu.be/U6PxMPn0B9M?si=IFOond4nI2f4lWg8,https://woogles.io/anno/AZRY2LmFd2mcfEE5TPb9Mh
1,L,Kian Boon Liew,317,620,-303,,
2,L,Madhav Gopal Kamath,531,534,-3,https://youtu.be/U6PxMPn0B9M?si=IFOond4nI2f4lWg8,https://woogles.io/anno/AZRY2LmFd2mcfEE5TPb9Mh
3,W,Siu Hean Cheah,514,323,191,,
4,W,Ming Hui Hubert Wee,452,530,-78,,
5,W,Sherwin Rodrigues,494,475,19,,
6,W,William Kang,470,423,47,,
7,W,Sanhanat Klanying,447,426,21,,
8,L,Jakkrit Klaphajone,356,448,-92,,
9,L,Harshan Lamabadusuriya,335,465,-130,,
10,L,Akegapun Erbprasartsook,372,482,-110,,
11,W,Samson Okosagah,445,407,38,,
12,W,Ishika Shivalingaiah,490,402,88,,
13,W,Udayan Grover,421,401,20,,
14,L,Vannitha Balasingam,344,527,-183,,
15,W,Rob Robinsky,459,419,40,,
16,W,David Webb,544,407,137,,
17,L,Jesse Day,401,462,-61,,
18,W,Rik Kennedy,511,287,224,,
19,L,Ricky Purnomo,374,477,-103,,
20,L,Jakkrit Klaphajone 2,321,427,-106,,
21,L,Nuti Suri,377,452,-75,,
23,L,Sanhanat Klanying 2,317,531,-214,,
24,L,Samson Okosagah 2,361,495,-134,,
25,W,Ishika Shivalingaiah 2,485,383,102,,
26,L,Vannitha Balasingam 2,369,521,-152,,
27,L,Doko Oluwatimilehin,430,486,-56,,
28,W,Anthony Ikolo,384,361,23,,
29,L,Rob Robinsky 2,353,484,-131,,
30,L,Marlon Prudencio,429,476,-47,,
31,W,Ishika Shivalingaiah 3,446,410,36,,
32,L,Pesol Kosalakood,477,480,-3,,
33,W,Ishika Shivalingaiah 4,484,434,50,,
34,W,Ryan Wee,367,456,-89,,
35,W,Ishika Shivalingaiah 5,448,338,110,,
36,L,Samrath Singh Bhatia,424,456,-32,,
