round,result,opponent,player_score,opponent_score,spread,youtube_link,woogles_annotation
1,L,Chock Heng Kong,100,100,0,,
1,L,Unknown,100,100,0,,
2,L,Chock Heng Kong,100,183,-83,,
3,L,Joshua Castellano,435,480,-45,,
4,W,William Kang,459,442,17,,
5,W,Waseem Khatri,427,438,-11,,
6,L,Jason Keller,415,430,-15,,
7,W,Sanjoy Gupta,467,304,163,,
8,L,Gerry Carter,461,482,-21,,
9,W,Siddharth Nithyanand,522,477,45,,
10,W,Jack Moran,468,440,28,,
11,W,Odette Rio,492,360,132,,
12,W,Orlet Bullock,453,442,11,,
13,W,Natthakorn Siriwatthanaphongsa,455,394,61,,
14,L,Dean Saldanha,385,437,-52,,
15,L,Unknown,358,426,-68,,
16,W,Edward Okulicz,401,358,43,,
17,W,Pesol Kosalakood,405,317,88,,
18,L,Siu Hean Cheah,358,463,-105,,
19,L,Aditya Iyengar,347,444,-97,,
20,L,Michael Gongolo,375,427,-52,,
21,L,Udayan Grover,416,500,-84,,
22,W,Rob Robinsky,422,326,96,,
23,W,Orlet Bullock 2,540,401,139,,
24,W,Akegapun Erbprasartsook,461,351,110,,
25,L,Unknown,359,592,-233,,
26,W,David Webb,472,455,17,,
27,L,Charles Carneiro,436,484,-48,,
28,L,Trevor Halsall,356,394,-38,,
29,L,Sanhanat Klanying,417,489,-72,,
30,W,Lukeman Owolabi,398,397,1,,
31,L,Rasheed Balogun,397,411,-14,,
32,L,Dean Saldanha 2,310,451,-141,,
33,L,Vannitha Balasingam,443,465,-22,,
34,W,Jason Carney,514,443,71,,
35,W,Charae Worapotpisut,438,417,21,,
36,L,Nopparuj Tipkaew,306,445,-139,,
