round,result,opponent,player_score,opponent_score,spread,youtube_link,woogles_annotation
1,L,Akshay Bhandarkar,311,517,-206,,https://woogles.io/anno/BbbbhYDpSc4CPD7UFdypxk
1,L,Akshay Bhandarkar,311,517,-206,,https://woogles.io/anno/BbbbhYDpSc4CPD7UFdypxk
2,L,Jakkrit Klaphajone,424,483,-59,,
3,W,CharnwitI Iamudom,453,427,26,,
4,L,Nopparuj Tipkaew,369,536,-167,,
5,L,Harshan Lamabadusuriya,450,544,-94,,
6,L,Marlon Prudencio,357,455,-98,,
7,W,Ryan Wee,460,513,-53,,
8,W,Ezinore George,482,461,21,,
9,L,Orlet Bullock,376,379,-3,,
10,W,Nuti Suri,434,247,187,,
11,L,Sherwin Rodrigues,353,448,-95,,
12,W,Thomson Law,412,376,36,,
13,L,J Jeyaseelan,453,471,-18,,
15,W,CharnwitI Iamudom 2,496,345,151,,
16,W,William Kang,494,462,32,,
17,L,Norases Vesdapunt,394,398,-4,,
18,L,Lukeman Owolabi,422,444,-22,,
19,W,Ryan Wee 2,303,755,-452,,
20,L,Thitipol Barameemuang,378,624,-246,,
21,L,CharnwitI Iamudom 3,344,431,-87,,
22,W,Thitipol Barameemuang 2,544,369,175,,
23,L,Samuel Crispin,418,460,-42,,
24,L,Rasheed Balogun,410,460,-50,,
25,W,Unknown,,,,,
26,W,Mike Baron,492,328,164,,
27,L,Apirat Choomai,394,546,-152,,
28,L,Thomson Law 2,365,445,-80,,
29,L,Siddharth Nithyanand,328,528,-200,,
30,W,Charae Worapotpisut,329,507,-178,,
32,W,Unknown,,,,,
33,L,Mike Baron 2,333,491,-158,,
34,L,Mike Baron 3,456,475,-19,,
35,W,Mike Baron 4,415,348,67,,
36,W,Mike Baron 5,440,350,90,,
