round,result,opponent,player_score,opponent_score,spread,youtube_link,woogles_annotation
1,L,Rik Kennedy,23,13,10,https://www.youtube.com/watch?v=_kF0e7UnO88,http://woogles.io/anno/BDFX5Sc7vjTKGbJiRheHF8
1,L,Rik Kennedy,480,525,-45,https://www.youtube.com/watch?v=_kF0e7UnO88,http://woogles.io/anno/BDFX5Sc7vjTKGbJiRheHF8
1,L,Rik Kennedy,480,525,-45,,
2,L,Udayan Grover,432,509,-77,,
3,W,Sanjoy Gupta,437,379,58,,
4,L,J Jeyaseelan,418,429,-11,,
5,W,Gerry Carter,544,450,94,,
6,W,Ryan Wee,499,431,68,,
7,W,Odette Rio,391,355,36,,
8,L,Vannitha Balasingam,470,489,-19,,
9,W,Euclid Hui,465,335,130,,
10,L,Dean Saldanha,396,436,-40,,
11,L,Siu Hean Cheah,397,416,-19,,
12,W,Natthakorn Siriwatthanaphongsa,539,444,95,,
13,W,Lukeman Owolabi,506,442,64,,
14,L,Unknown,388,417,-29,,
15,W,Jimoh Abdulmumin,435,414,21,,
16,W,Natalie Zolty,469,370,99,,
17,W,David Webb,540,327,213,,
18,L,Soramet Mettaviharee,353,462,-109,,
19,L,Panupol Sujjayakorn,359,456,-97,,
20,L,CharnwitS Sukhumrattanaporn,388,453,-65,,
21,W,Unknown,603,380,223,,
22,W,Siu Hean Cheah 2,485,413,72,,
23,W,Odette Rio 2,452,388,64,,
24,W,Alexander Gozali,592,415,177,,
25,W,Ricky Purnomo,463,417,46,,http://woogles.io/anno/BDFX5Sc7vjTKGbJiRheHF8
26,W,Jimoh Abdulmumin 2,452,378,74,,http://woogles.io/anno/Zk3M3SyfY7Y9RBGCqdXQ4w
27,L,Cameron Farlow,440,474,-34,,http://woogles.io/anno/LhzyE3HtorSc5h543AirLh
28,W,Komol Panyasophonlert,497,456,41,,http://woogles.io/anno/kNDtkc9uLAv7sY5DJorLsY
29,W,Andrew Fisher,430,409,21,,http://woogles.io/anno/eDqTYHnoQZDhXvZiwgzyZx
30,W,Dave Wiegand,492,554,-62,https://www.youtube.com/watch?v=_kF0e7UnO88,http://woogles.io/anno/YPxDfwBFmB8RefX4nrAo5x
31,W,Ben Schoenbrun,495,348,147,,
32,W,Aditya Iyengar,506,325,181,,
33,L,Thacha Koowirat,402,429,-27,,
34,W,Aditya Iyengar 2,489,426,63,,
35,W,Madhav Gopal Kamath,443,351,92,,
36,W,Thacha Koowirat 2,514,351,163,,
