round,result,opponent,player_score,opponent_score,spread,youtube_link,woogles_annotation
1,L,Akegapun Erbprasartsook,308,574,-266,,https://woogles.io/anno/WtbceXugpyUvCPKv3cNzMr
1,L,Akegapun Erbprasartsook,308,574,-266,,
2,W,Ishika Shivalingaiah,480,398,82,,
3,L,Nopparuj Tipkaew,388,443,-55,,
4,W,Charae Worapotpisut,435,368,67,,
5,W,Samrath Singh Bhatia,499,357,142,,
6,W,Edward Okulicz,482,437,45,,
7,W,Ricky Purnomo,426,423,3,,
8,L,Komol Panyasophonlert,400,479,-79,,
9,L,Panupol Sujjayakorn,402,575,-173,,https://woogles.io/anno/WtbceXugpyUvCPKv3cNzMr
10,W,Chaiyottha Manachaisit,381,375,6,,
11,L,Thacha Koowirat,417,540,-123,,
12,W,Charles Carneiro,484,393,91,,
13,W,Unknown,549,394,155,,
14,L,Puttapong Moonsarn,349,366,-17,,
15,W,Jakkrit Klaphajone,373,341,32,,
16,W,Piotr Andronowski,534,364,170,,
17,L,Joshua Castellano,408,543,-135,,
18,W,Weibin Toh,531,404,127,,
19,W,Alexander Gozali,522,470,52,,
20,W,Josh Watt,619,306,313,,
21,L,Chaiyottha Manachaisit 2,389,471,-82,,http://woogles.io/anno/ZT5YWfyyBBwHutZAwyjynW
22,L,Soramet Mettaviharee,380,475,-95,,http://woogles.io/anno/FZszBDbQGid2XxHf8uPLWh
23,W,Joshua Castellano 2,413,400,13,,http://woogles.io/anno/H2Sii2FNGkdGUD5PxSRNBb
24,L,Napat Vatjaranurathorn,354,538,-184,,
25,L,Cameron Farlow,381,419,-38,,
26,L,Nigel Richards,443,535,-92,,
27,W,Jimoh Abdulmumin,439,428,11,,
28,L,Ben Schoenbrun,384,504,-120,,
29,L,Panupol Sujjayakorn 2,350,437,-87,,
30,W,Ricky Purnomo 2,416,316,100,,
31,W,Piotr Andronowski 2,574,436,138,,
32,L,Siu Hean Cheah,383,465,-82,,
33,L,Unknown,330,390,-60,,
34,W,David Webb,305,487,-182,,
35,L,Jakkrit Klaphajone 2,475,477,-2,,
36,L,Samuel Crispin,431,440,-9,,
