round,result,opponent,player_score,opponent_score,spread,youtube_link,woogles_annotation
1,W,William Kang,423,402,21,,
1,W,William Kang,423,402,21,,
2,L,Irfan Siddiqui,398,480,-82,,
3,L,Cameron Farlow,364,559,-195,,
4,W,Ryan Wee,464,408,56,,
5,W,Nopparuj Tipkaew,446,356,90,,
6,L,Jesse Day,427,450,-23,,
7,L,Rasheed Balogun,392,396,-4,,
8,L,Edward Okulicz,394,466,-72,,
9,L,Marlon Prudencio,358,479,-121,,
10,W,Samuel Crispin,524,315,209,,
11,L,Anthony Ikolo,364,432,-68,,
12,L,Euclid Hui,402,490,-88,,
13,W,Chock Heng Kong,449,406,43,,
15,L,Michael Gongolo,387,431,-44,,
16,W,Natthakorn Siriwatthanaphongsa,377,348,29,,
17,W,Ryan Wee 2,383,465,-82,,
18,W,Sherwin Rodrigues,497,458,39,,
19,L,Norases Vesdapunt,347,503,-156,,
20,W,Samson Okosagah,467,354,113,,
21,L,Samson Okosagah 2,402,508,-106,,
22,W,William Kang 2,323,455,-132,,
23,W,Lukeman Owolabi,480,450,30,,
24,W,Orlet Bullock,465,275,190,,
25,L,Euclid Hui 2,383,485,-102,,
26,L,Marlon Prudencio 2,365,420,-55,,
27,L,Norases Vesdapunt 2,409,412,-3,,
28,L,Sanjoy Gupta,393,434,-41,,
29,W,Apirat Choomai,414,412,2,,
30,W,CharnwitI Iamudom,454,440,14,,
31,L,Euclid Hui 3,410,446,-36,,
32,W,Thitipol Barameemuang,423,394,29,,
33,L,Euclid Hui 4,434,484,-50,,
34,W,Sanjoy Gupta 2,514,397,117,,
35,L,Euclid Hui 5,338,448,-110,,
36,W,Pesol Kosalakood,453,411,42,,
