round,result,opponent,player_score,opponent_score,spread,youtube_link,woogles_annotation
1,L,Thomson Law,337,418,-81,https://youtu.be/xEYt-jxfkdc?si=mpzlt4IPT0e1Ww95,https://woogles.io/anno/ahqzttpw4aktpJNfSiCGxP
1,L,Thomson Law,337,418,-81,,
2,L,Akshay Bhandarkar,325,491,-166,https://youtu.be/xEYt-jxfkdc?si=mpzlt4IPT0e1Ww95,https://woogles.io/anno/ahqzttpw4aktpJNfSiCGxP
3,W,Josh Watt,411,380,31,,
4,W,Harshan Lamabadusuriya,429,418,11,,
5,L,Jason Keller,396,428,-32,,
6,L,Suyash Manchali,339,560,-221,,
7,W,David Webb,340,431,-91,,
8,L,Michael Gongolo,433,483,-50,,
9,W,Charae Worapotpisut,357,398,-41,,
10,L,Orlet Bullock,392,536,-144,,
11,W,Apirat Choomai,483,411,72,,
12,W,William Kang,490,379,111,,
13,W,Gerry Carter,471,453,18,,
14,L,Nuti Suri,389,519,-130,,
15,L,Sujana Somasekar,427,428,-1,,
16,L,Jack Moran,325,457,-132,,
17,L,CharnwitI Iamudom,387,398,-11,,
18,L,Thitipol Barameemuang,356,518,-162,,
19,L,Mike Baron,408,456,-48,,
20,L,Samuel Crispin,357,411,-54,,
21,W,Mike Baron 2,513,310,203,,
22,W,Thomson Law 2,509,450,59,,
23,L,Thitipol Barameemuang 2,434,457,-23,,
24,W,Siddharth Nithyanand,466,425,41,,
25,L,Apirat Choomai 2,375,393,-18,,
26,W,Unknown,,,,,
27,W,Charae Worapotpisut 2,358,420,-62,,
28,L,Orlet Bullock 2,453,458,-5,,
29,W,Orlet Bullock 3,417,382,35,,
30,W,Chock Heng Kong,553,429,124,,
31,L,Russell Honeybun,386,430,-44,,
32,L,Chock Heng Kong 2,456,501,-45,,
33,L,Edward Okulicz,430,457,-27,,
34,W,Unknown,,,,,
35,W,Siddharth Nithyanand 2,490,343,147,,
36,W,Chock Heng Kong 3,477,362,115,,
