round,result,opponent,player_score,opponent_score,spread,youtube_link,woogles_annotation
1,L,Puttapong Moonsarn,344,534,-190,,
1,L,Puttapong Moonsarn,344,534,-190,,
2,L,Siu Hean Cheah,414,480,-66,,
3,W,Jason Keller,449,429,20,,
4,L,CharnwitI Iamudom,429,455,-26,,
5,L,Edward Okulicz,402,477,-75,,
6,W,Sanhanat Klanying,489,464,25,,
7,L,Anthony Ikolo,391,475,-84,,
8,L,Jason Carney,426,443,-17,,
9,W,Waseem Khatri,442,461,-19,,
10,L,Ezinore George,440,468,-28,,
11,L,Doko Oluwatimilehin,339,493,-154,,
12,W,Apirat Choomai,486,343,143,,
13,W,Mike Baron,432,352,80,,
14,W,Thomson Law,468,382,86,,
15,W,Siddharth Nithyanand,557,362,195,,
16,W,J Jeyaseelan,457,325,132,,
17,W,Chock Heng Kong,459,319,140,,
18,W,Rasheed Balogun,518,469,49,,
19,L,Austin Shin,396,478,-82,,
20,L,Dean Saldanha,335,484,-149,,
21,L,Unknown,100,100,0,,
22,L,Sherwin Rodrigues,411,502,-91,,
23,W,Edward Okulicz 2,565,451,114,,
24,W,Charae Worapotpisut,445,387,58,,
25,L,Charles Carneiro,363,447,-84,,
26,W,Nopparuj Tipkaew,576,366,210,,
27,W,Anthony Ikolo 2,479,353,126,,
28,L,Odette Rio,401,484,-83,,
29,W,Jason Carney 2,454,358,96,,
30,L,Dean Saldanha 2,422,441,-19,,
31,L,Doko Oluwatimilehin 2,420,531,-111,,
32,W,Charles Carneiro 2,468,458,10,,
33,L,Rob Robinsky,402,529,-127,,
34,W,Norases Vesdapunt,491,387,104,,
35,W,Doko Oluwatimilehin 3,486,453,33,,
36,L,Marlon Prudencio,337,425,-88,,
