round,result,opponent,player_score,opponent_score,spread,youtube_link,woogles_annotation
1,W,Siu Hean Cheah,492,415,-415,,https://woogles.io/anno/SzpPd8SBiBW7TNxJZKSFqF
1,W,Siu Hean Cheah,492,415,-415,,
2,W,Gerry Carter,483,424,-424,,
3,L,Soramet Mettaviharee,424,473,-473,,
4,W,Akegapun Erbprasartsook,554,340,-340,,
5,L,Nigel Richards,434,569,-569,,
6,L,Unknown,409,511,-511,,https://woogles.io/anno/SzpPd8SBiBW7TNxJZKSFqF
7,L,Thacha Koowirat,370,485,-485,,
8,W,Euclid Hui,448,356,-356,,
9,L,Brian Po,429,442,-442,,
10,W,Ming Hui Hubert Wee,523,350,-350,,
11,W,Natthakorn Siriwatthanaphongsa,454,416,-416,,
12,W,Jimoh Abdulmumin,418,415,-415,,
13,L,Brian Po 2,385,443,-443,,
14,W,Rik Kennedy,493,395,-395,,
15,L,Irfan Siddiqui,341,373,-373,,
16,W,Ming Hui Hubert Wee 2,499,403,-403,,
17,W,Unknown,448,430,-430,,
18,L,Nigel Richards 2,313,447,-447,,
19,L,CharnwitS Sukhumrattanaporn,442,555,-555,,
20,W,Euclid Hui 2,427,321,-321,,
21,W,Unknown,463,422,-422,,
22,L,Puttapong Moonsarn,373,486,-486,,
23,L,David Eldar,430,533,-533,,
24,L,Ben Schoenbrun,443,478,-478,,
25,L,Jason Carney,368,542,-542,,
26,W,Unknown,467,364,-364,,
27,L,Udayan Grover,357,432,-432,,
28,W,William Kang,430,413,-413,,
29,W,Ryan Wee,453,353,-353,,
30,W,Akegapun Erbprasartsook 2,435,421,-421,,
31,L,Jimoh Abdulmumin 2,410,453,-453,,
32,W,David Webb,494,449,-449,,
33,L,Unknown,446,487,-487,,
34,L,Cameron Farlow,346,429,-429,,
35,W,Irfan Siddiqui 2,477,475,-475,,
36,W,Odette Rio,427,387,-387,,
