round,result,opponent,player_score,opponent_score,spread,youtube_link,woogles_annotation
1,L,Thacha Koowirat,414,459,-45,https://youtu.be/hdBeNWE8oeY?si=QEUX4Dae7xPk4b6n,https://woogles.io/anno/avvV6MHXX75EWcSpCupaHV
1,L,Thacha Koowirat,414,459,-45,,
2,L,Akegapun Erbprasartsook,415,465,-50,https://youtu.be/hdBeNWE8oeY?si=QEUX4Dae7xPk4b6n,https://woogles.io/anno/avvV6MHXX75EWcSpCupaHV
3,W,Ming Hui Hubert Wee,375,396,-21,,
4,L,Sujana Somasekar,335,468,-133,,
5,W,Thitipol Barameemuang,454,293,161,,
6,W,Unknown,,,,,
7,W,Charae Worapotpisut,398,390,8,,
8,W,Jack Moran,443,426,17,,
9,W,Udayan Grover,437,393,44,,
10,W,Pesol Kosalakood,553,289,264,,
11,W,David Webb,337,407,-70,,
12,L,Komol Panyasophonlert,433,496,-63,,
13,L,Rik Kennedy,397,528,-131,,
14,W,Samrath Singh Bhatia,494,426,68,,
15,W,Dean Saldanha,453,438,15,,
16,L,Odette Rio,426,427,-1,,
17,L,Siu Hean Cheah,354,490,-136,,
18,W,Edward Okulicz,439,343,96,,
19,W,Unknown,431,378,53,,
20,L,Pesol Kosalakood 2,399,494,-95,,
21,L,Odette Rio 2,318,541,-223,,
22,W,David Webb 2,441,411,30,,
23,W,Charles Carneiro,438,376,62,,
24,L,Trevor Halsall,440,734,-294,,
25,W,Jakkrit Klaphajone,542,368,174,,
26,L,Samrath Singh Bhatia 2,475,479,-4,,
27,L,Sherwin Rodrigues,493,543,-50,,
28,L,Udayan Grover 2,414,540,-126,,
29,L,Jack Moran 2,358,454,-96,,
30,L,Doko Oluwatimilehin,393,409,-16,,
31,L,Anthony Ikolo,391,425,-34,,
32,W,Charae Worapotpisut 2,365,464,-99,,
33,W,Thitipol Barameemuang 2,404,379,25,,
34,L,Ezinore George,443,514,-71,,
35,W,Edward Okulicz 2,385,367,18,,
36,W,Charae Worapotpisut 3,393,498,-105,,
