round,result,opponent,player_score,opponent_score,spread,youtube_link,woogles_annotation
1,L,Pesol Kosalakood,390,438,-48,https://www.youtube.com/watch?v=6HlzMhGKgsQ,https://woogles.io/anno/RWKgBzqaCiPirAxpniZFYX
1,L,Pesol Kosalakood,390,438,-48,,
2,W,Ming Hui Hubert Wee,481,449,32,,
3,L,Jack Moran,429,449,-20,,
4,L,Panupol Sujjayakorn,471,498,-27,,
5,W,J Jeyaseelan,428,396,32,,
6,W,Ezinore George,430,415,15,,
7,W,Siu Hean Cheah,428,393,35,,
8,W,Norases Vesdapunt,468,275,193,,
9,W,Alexander Gozali,486,301,185,,
10,W,Kian Boon Liew,480,370,110,,https://woogles.io/anno/RWKgBzqaCiPirAxpniZFYX
11,W,Rob Robinsky,452,427,25,,https://woogles.io/anno/jQxavFL2cvSoFfS6KFNYGs
12,W,Cameron Farlow,482,324,158,,https://woogles.io/anno/9pMJ3M8phPwjrbxtSeAFi2
13,W,Nigel Richards,484,352,132,,http://woogles.io/anno/So7kNY4cZv8sVfgP7mZvxb
14,W,Akshay Bhandarkar,443,436,7,https://www.youtube.com/watch?v=6HlzMhGKgsQ,http://woogles.io/anno/ia3Wg4khssZbf3V33qg2yj
15,L,Napat Vatjaranurathorn,371,436,-65,https://www.youtube.com/watch?v=4Bu8ul8SY2k,http://woogles.io/anno/HEY387L9TR626bPiQrdG29
16,W,Ben Schoenbrun,450,367,83,https://www.youtube.com/watch?v=HlmKnByfOOk,http://woogles.io/anno/iiTJHuy7uasgvhHy84CMsR
17,W,David Eldar,442,375,67,,http://woogles.io/anno/TmVAyxU6Ms97Js3dwdA9qB
18,W,Dave Wiegand,372,555,-183,https://www.youtube.com/watch?v=NQa1QKUeMBM,http://woogles.io/anno/bZQgd85tcKnux4uk6UYRqR
19,W,Darren Khoo,459,442,17,https://www.youtube.com/watch?v=flmhjOmoi1M,http://woogles.io/anno/T6qqcLX3Gf4xCcr4cXfMEy
20,W,Chaiyottha Manachaisit,389,372,17,https://www.youtube.com/watch?v=MbcEyhoqyxU,http://woogles.io/anno/WtX6vui2wWQMp2DBFZNdyf
21,W,Dave Wiegand 2,480,489,-9,https://www.youtube.com/watch?v=Ng4Y53BwevU,http://woogles.io/anno/2ngt3eQ2zCYfyqhr9CLK9Y
22,L,Darren Khoo 2,371,556,-185,https://www.youtube.com/watch?v=5HzuqWQRlNQ,http://woogles.io/anno/CFCvYBZfVonqWy6tSaZarj
23,W,Akshay Bhandarkar 2,500,367,133,https://www.youtube.com/watch?v=Lusxj6NIFa4,http://woogles.io/anno/JrBt3Y7gKrPRp6muPBHfRh
24,W,Brian Po,461,421,40,https://www.youtube.com/watch?v=p8WOJEATu6k&pp=0gcJCR4LAYcqIYzv,http://woogles.io/anno/kXZ63GDYU3UTw6qjVkQvx6
25,L,Madhav Gopal Kamath,349,426,-77,https://www.youtube.com/watch?v=VpejcW5Taaw,http://woogles.io/anno/2kggyaqVKXpZP22PX47aAp
26,W,Chaiyottha Manachaisit 2,427,352,75,https://www.youtube.com/watch?v=aKjBbPT2Sws,http://woogles.io/anno/2ThfBnN2GVto9j8hgHyoXh
27,W,Komol Panyasophonlert,491,461,30,,http://woogles.io/anno/CUU4UdgrF9QSzbXwNNtjjV
28,L,Thacha Koowirat,381,419,-38,https://www.youtube.com/watch?v=qo3CGwCF00I,http://woogles.io/anno/hCQNGMMRJbhF9rf3HKve8U
29,L,David Eldar 2,416,427,-11,https://www.youtube.com/watch?v=budKktdzQKs,http://woogles.io/anno/Q4aFf9uzVQN5sdVJ5KGBDT
30,W,Joshua Castellano,449,403,46,https://www.youtube.com/watch?v=LTz0LeYA8X8,http://woogles.io/anno/hdg3Ka7zjwfxP74RfkpRiK
31,W,Dave Wiegand 3,396,413,-17,,
32,L,Joshua Castellano 2,350,498,-148,,
33,W,Napat Vatjaranurathorn 2,446,374,72,,
34,L,Thacha Koowirat 2,416,439,-23,,
35,L,Panupol Sujjayakorn 2,356,484,-128,,
36,W,Napat Vatjaranurathorn 3,450,384,66,,
