round,result,opponent,player_score,opponent_score,spread,youtube_link,woogles_annotation
1,W,Thacha Koowirat,411,528,+100,,https://woogles.io/anno/hWB6wqqBkUr9V3nqjk2hgH
1,W,Unknown,,,+100,,
2,L,Thacha Koowirat,411,528,-528,,
3,W,Komol Panyasophonlert,436,406,-406,,
4,W,Josh Watt,394,405,-405,,
5,L,Chaiyottha Manachaisit,468,487,-487,,
6,W,Ishika Shivalingaiah,450,427,-427,,
7,W,Vannitha Balasingam,528,347,-347,,
8,W,Samuel Crispin,518,375,-375,,
9,L,Soramet Mettaviharee,379,492,-492,,
10,W,Unknown,397,371,-371,,
11,W,Austin Shin,607,445,-445,,https://woogles.io/anno/hWB6wqqBkUr9V3nqjk2hgH
12,L,Russell Honeybun,373,426,-426,,https://woogles.io/anno/gY6moQmV4FyhsvQBpo3BvP
13,W,CharnwitS Sukhumrattanaporn,481,381,-381,,http://woogles.io/anno/iyqKS5dQbdUomqXykVwWxX
14,L,Joshua Castellano,343,556,-556,,
15,L,Soramet Mettaviharee 2,379,481,-481,,
16,L,Kian Boon Liew,375,407,-407,,
17,W,Euclid Hui,462,401,-401,,
18,L,Unknown,476,479,-479,,
19,L,Odette Rio,419,421,-421,,
20,W,Sujana Somasekar,520,436,-436,,
21,L,Unknown,100,100,-100,,
22,L,Unknown,100,100,-100,,
23,L,Unknown,100,100,-100,,
24,L,Unknown,100,100,-100,,
25,L,Unknown,100,100,-100,,
26,L,Unknown,100,100,-100,,
27,L,Unknown,100,100,-100,,
28,L,Unknown,100,100,-100,,
29,L,Unknown,100,100,-100,,
30,L,Unknown,100,100,-100,,
31,L,Unknown,100,100,-100,,
32,L,Unknown,100,100,-100,,
33,L,Unknown,100,100,-100,,
34,L,Unknown,100,100,-100,,
35,L,Unknown,100,100,-100,,
36,L,Unknown,100,100,-100,,
