round,result,opponent,player_score,opponent_score,spread,youtube_link,woogles_annotation
1,L,Marlon Prudencio,100,100,0,,http://woogles.io/anno/Zk3M3SyfY7Y9RBGCqdXQ4w
1,L,Unknown,100,100,0,,
2,L,Marlon Prudencio,327,431,-104,,
3,W,Waseem Khatri,453,442,11,,
4,W,Apirat Choomai,478,330,148,,
5,W,Nuti Suri,467,413,54,,
6,L,Ricky Purnomo,405,464,-59,,
7,L,Akegapun Erbprasartsook,358,421,-63,,
8,W,Marlon Prudencio 2,497,361,136,,
9,W,Anthony Ikolo,471,426,45,,
10,L,Vannitha Balasingam,352,547,-195,,
11,L,Lukeman Owolabi,428,468,-40,,
12,L,Jakkrit Klaphajone,415,418,-3,,
13,W,Nopparuj Tipkaew,515,404,111,,
14,W,CharnwitI Iamudom,480,453,27,,
15,L,Harshan Lamabadusuriya,414,435,-21,,
16,L,Sanhanat Klanying,366,422,-56,,
17,W,Akegapun Erbprasartsook 2,436,363,73,,
18,W,Doko Oluwatimilehin,444,316,128,,
19,W,Pesol Kosalakood,547,331,216,,
20,W,Odette Rio,470,419,51,,
21,W,Ricky Purnomo 2,425,417,8,,
22,W,Piotr Andronowski,491,405,86,,
23,W,Puttapong Moonsarn,432,403,29,,
24,L,CharnwitS Sukhumrattanaporn,418,457,-39,,
25,L,Alexander Gozali,413,437,-24,,
26,L,Harshan Lamabadusuriya 2,378,452,-74,,http://woogles.io/anno/Zk3M3SyfY7Y9RBGCqdXQ4w
27,L,Irfan Siddiqui,428,439,-11,,
28,W,Samrath Singh Bhatia,597,359,238,,
29,W,Siu Hean Cheah,439,428,11,,
30,L,Unknown,348,610,-262,,
31,W,Jakkrit Klaphajone 2,453,410,43,,
32,W,Unknown,537,425,112,,
33,W,Darren Khoo,550,431,119,,
34,L,Andrew Fisher,373,419,-46,,
35,L,Akshay Bhandarkar,420,527,-107,,
36,L,Udayan Grover,403,475,-72,,
