round,result,opponent,player_score,opponent_score,spread,youtube_link,woogles_annotation
1,W,Odette Rio,19,16,3,https://youtu.be/r4S8K6yCsR4?si=rzEszGsCevM1X6Z7,https://woogles.io/anno/a8RBNQqoxc4CTfgR9FRqeq
1,L,Odette Rio,402,407,-5,https://youtu.be/r4S8K6yCsR4?si=rzEszGsCevM1X6Z7,https://woogles.io/anno/a8RBNQqoxc4CTfgR9FRqeq
1,L,Odette Rio,402,407,-5,,
2,W,Edward Okulicz,467,364,103,,
3,L,J Jeyaseelan,380,411,-31,,
4,W,Jesse Day,405,394,11,,
5,W,Ming Hui Hubert Wee,424,389,35,,
6,W,Rik Kennedy,505,430,75,,
7,W,Aditya Iyengar,519,350,169,,
8,W,Akshay Bhandarkar,421,401,20,,https://woogles.io/anno/a8RBNQqoxc4CTfgR9FRqeq
9,W,Rasheed Balogun,530,394,136,,https://woogles.io/anno/kpJqCQQa8KKJRLLwPZrUhn
10,W,Napat Vatjaranurathorn,410,360,50,https://youtu.be/r4S8K6yCsR4?si=rzEszGsCevM1X6Z7,https://woogles.io/anno/RUrCYhd6PdDhNRpPJRH4DJ
11,W,Napat Vatjaranurathorn 2,416,374,42,https://www.youtube.com/watch?v=vEDCsH3inqc,https://woogles.io/anno/FhNskYqa63HYfcGPGY2ZUC
12,L,Akshay Bhandarkar 2,398,517,-119,https://www.youtube.com/watch?v=03I7Xcu86nQ,https://woogles.io/anno/5wU6gALXGq9xokMDd9sdFm
13,L,Ben Schoenbrun,410,422,-12,https://www.youtube.com/watch?v=Oz2ZOYJbsP4,http://woogles.io/anno/JUknFyU6tjxgzbqRdn2Q2X
14,W,David Eldar,548,447,101,https://www.youtube.com/watch?v=zoLevLLs3PM&pp=0gcJCR4LAYcqIYzv,http://woogles.io/anno/MrLojbgFjAsfr6TA4MvPHT
15,W,Komol Panyasophonlert,507,336,171,,http://woogles.io/anno/gfQ4GjwkcXcbd6cc327KtV
16,L,Madhav Gopal Kamath,341,510,-169,,http://woogles.io/anno/hDeYAF5iQxZZYPgw6rrXND
17,W,Dave Wiegand,414,440,-26,https://www.youtube.com/watch?v=6VrgGttEYK8,http://woogles.io/anno/8ttNrcPMtEDKnx8Hncbt2S
18,L,Darren Khoo,431,438,-7,,http://woogles.io/anno/fWAvevHeF3Txct8q3RKdEY
19,W,Thacha Koowirat,454,442,12,,http://woogles.io/anno/gL7WZDsdpAjpUDPd8vjVZh
20,L,Irfan Siddiqui,306,619,-313,,
21,W,David Eldar 2,502,483,19,,
22,L,Joshua Castellano,421,439,-18,,
24,W,Weibin Toh,431,370,61,,http://woogles.io/anno/BoSjCkuFwxxPyAuaUop8YR
25,L,Komol Panyasophonlert 2,377,616,-239,,http://woogles.io/anno/22CCT6RzdTPiU4McRvocCf
26,L,Akshay Bhandarkar 3,356,576,-220,,http://woogles.io/anno/k8fP5UNVXfC3BwFm2eDdQ2
27,W,Alexander Gozali,479,371,108,,
28,W,Samson Okosagah,414,410,4,,
29,L,Ben Schoenbrun 2,225,530,-305,,
30,W,Ming Hui Hubert Wee 2,488,436,52,,
31,W,Akshay Bhandarkar 4,568,429,139,,
32,L,Ben Schoenbrun 3,328,540,-212,,
33,L,Brian Po,305,677,-372,,
34,L,Austin Shin,257,435,-178,,
35,W,Sanhanat Klanying,461,398,63,,
36,L,Austin Shin 2,382,653,-271,,
