round,result,opponent,player_score,opponent_score,spread,youtube_link,woogles_annotation
1,L,Euclid Hui,17,19,-2,https://youtu.be/vHTw-SjigKE?si=FjJm173wKM-8Y7U8,https://woogles.io/anno/TCeNnrhAbDRUatS6mWXkRH
1,W,Euclid Hui,620,317,303,https://youtu.be/vHTw-SjigKE?si=FjJm173wKM-8Y7U8,https://woogles.io/anno/TCeNnrhAbDRUatS6mWXkRH
1,W,Euclid Hui,620,317,303,,
2,L,Andrew Fisher,413,462,-49,,
3,L,Alexander Gozali,354,533,-179,https://youtu.be/vHTw-SjigKE?si=FjJm173wKM-8Y7U8,https://woogles.io/anno/TCeNnrhAbDRUatS6mWXkRH
4,L,Charles Carneiro,412,467,-55,,
5,W,Vannitha Balasingam,503,427,76,,
6,W,Siddharth Nithyanand,481,327,154,,
7,W,Ming Hui Hubert Wee,506,391,115,,
8,W,Piotr Andronowski,466,439,27,,
9,W,Komol Panyasophonlert,464,360,104,,
10,L,Jason Keller,370,480,-110,,https://woogles.io/anno/RWKgBzqaCiPirAxpniZFYX
11,L,Komol Panyasophonlert 2,431,457,-26,,
12,W,Unknown,647,404,243,,
13,L,Edward Okulicz,394,464,-70,,
14,W,Rob Robinsky,449,425,24,,http://woogles.io/anno/BfzeAGQLN6feEMWG66qxVV
15,W,Vannitha Balasingam 2,549,394,155,,
16,W,Jesse Day,407,375,32,,
17,W,Weibin Toh,393,558,-165,,http://woogles.io/anno/4oM8xqsDCUnNqbYzWcA6Ra
18,L,Andrew Fisher 2,381,466,-85,,http://woogles.io/anno/MKHjrih43TvaiKR5KwcD7T
19,L,Soramet Mettaviharee,346,379,-33,,
20,W,Puttapong Moonsarn,491,408,83,,
21,L,Cameron Farlow,347,509,-162,,
22,W,Alexander Gozali 2,524,387,137,,
23,W,David Webb,430,409,21,,
24,W,Piotr Andronowski 2,472,410,62,,
25,W,Nigel Richards,516,378,138,,
26,L,CharnwitS Sukhumrattanaporn,436,441,-5,,
27,L,Aditya Iyengar,416,444,-28,,http://woogles.io/anno/5yWsRRTJ2EhayJbE6pvc4s
28,W,Napat Vatjaranurathorn,509,334,175,,http://woogles.io/anno/bxnjMF4G2Sy3fZ3oNQVud6
29,L,Samson Okosagah,344,425,-81,,
30,L,Ben Schoenbrun,373,493,-120,,http://woogles.io/anno/AhD3XTPLtv6pYfCVFpXJ6W
31,L,Udayan Grover,412,427,-15,,
32,L,Austin Shin,515,517,-2,,
33,W,Doko Oluwatimilehin,555,471,84,,
34,L,Soramet Mettaviharee 2,405,487,-82,,
35,L,Suyash Manchali,429,465,-36,,
36,L,Sherwin Rodrigues,414,458,-44,,
