round,result,opponent,player_score,opponent_score,spread,youtube_link,woogles_annotation
1,W,Joshua Castellano,422,395,27,https://www.youtube.com/watch?v=LIVu9S8RnGw,https://woogles.io/anno/GigBovdt4uENP9zdYSZ4xY
1,W,Joshua Castellano,422,395,27,,https://woogles.io/anno/GigBovdt4uENP9zdYSZ4xY
2,W,Sanjoy Gupta,454,402,52,,
3,L,Jesse Day,406,436,-30,,
4,W,Suyash Manchali,543,421,122,,
5,L,Austin Shin,391,415,-24,,
6,W,Nigel Richards,545,464,81,,
7,L,Soramet Mettaviharee,375,472,-97,,
8,W,Irfan Siddiqui,479,400,79,,
9,L,Kian Boon Liew,360,464,-104,,
10,W,Darren Khoo,493,436,57,,
11,W,Kian Boon Liew 2,457,431,26,,
12,W,Jason Carney,496,433,63,,
13,W,Weibin Toh,479,384,95,,http://woogles.io/anno/2FSirMqByhTF9S34PnZqyZ
14,W,Russell Honeybun,438,376,62,,http://woogles.io/anno/4nDPuZyJAHWj3GENSmPB7Q
15,W,Josh Watt,336,507,-171,,http://woogles.io/anno/gfQ4GjwkcXcbd6cc327KtV
16,L,David Eldar,380,426,-46,https://www.youtube.com/watch?v=LIVu9S8RnGw,http://woogles.io/anno/X7TdNTCd6fdGHJ8dZfzo6G
17,W,Andrew Fisher,594,429,165,,http://woogles.io/anno/VhSUu2oyy9jpUb5WrQetrG
18,L,Thacha Koowirat,455,503,-48,,http://woogles.io/anno/ixC5LpCn3WY7R3u4JY87rr
19,W,Cameron Farlow,540,393,147,,http://woogles.io/anno/ii3tZfwjzdFBb6p9zfjKzT
20,W,Joshua Castellano 2,493,370,123,,http://woogles.io/anno/f6v7MtTrjKeL3xanH9c3LC
21,W,Napat Vatjaranurathorn,456,326,130,,http://woogles.io/anno/LmWVHPUZpLjYwBeHvxPvLf
22,L,Brian Po,403,469,-66,,http://woogles.io/anno/ECGgTtm6injHVxEKEToZ83
23,W,Darren Khoo 2,435,421,14,https://www.youtube.com/watch?v=_ykzRkKB7BM,http://woogles.io/anno/DfBTJYj8FHeLVR86pbkmyZ
24,L,Akshay Bhandarkar,420,505,-85,,http://woogles.io/anno/Wou33sGPNfEPBLFF2H4bHh
25,W,Josh Watt 2,616,377,239,,http://woogles.io/anno/22CCT6RzdTPiU4McRvocCf
26,L,Aditya Iyengar,360,386,-26,,http://woogles.io/anno/dPUzskCmuZNpHEVuq8kbh2
27,L,Jason Keller,461,491,-30,,http://woogles.io/anno/CUU4UdgrF9QSzbXwNNtjjV
28,L,Harshan Lamabadusuriya,456,497,-41,,http://woogles.io/anno/kNDtkc9uLAv7sY5DJorLsY
29,W,Nigel Richards 2,444,427,17,,http://woogles.io/anno/V2Pi8gwdcwyZNwajrjyvr9
30,L,Samson Okosagah,489,498,-9,,http://woogles.io/anno/33y99SZb226TRtehH7NsAA
31,L,Panupol Sujjayakorn,399,581,-182,,
32,W,Cameron Farlow 2,513,311,202,,
33,L,Akshay Bhandarkar 2,406,420,-14,,
34,W,Udayan Grover,475,377,98,,
35,W,Austin Shin 2,512,340,172,,
36,W,Akshay Bhandarkar 3,430,413,17,,
