round,result,opponent,player_score,opponent_score,spread,youtube_link,woogles_annotation
1,L,Weibin Toh,17,18,-1,,https://woogles.io/anno/3FDAbMnZFrDHh9qbsvERSr
1,W,Weibin Toh,469,487,-18,,https://woogles.io/anno/3FDAbMnZFrDHh9qbsvERSr
1,W,Weibin Toh,469,487,-18,,https://woogles.io/anno/3FDAbMnZFrDHh9qbsvERSr
2,W,Unknown,,,,,
3,W,Unknown,,,,,
4,L,Soramet Mettaviharee,370,446,-76,,
5,L,Piotr Andronowski,304,526,-222,,
6,W,Samrath Singh Bhatia,500,439,61,,
7,W,Sherwin Rodrigues,432,416,16,,
9,L,Unknown,397,468,-71,,
10,L,Austin Shin,354,498,-144,,
11,W,Jimoh Abdulmumin,468,428,40,,
12,L,Pesol Kosalakood,460,484,-24,,
13,L,Harshan Lamabadusuriya,442,506,-64,,
14,W,Sherwin Rodrigues 2,495,323,172,,
15,L,Austin Shin 2,401,484,-83,,
16,L,Samson Okosagah,344,410,-66,,
17,W,Doko Oluwatimilehin,475,396,79,,
18,W,Gerry Carter,444,422,22,,
19,L,Natalie Zolty,445,490,-45,,
20,L,Trevor Halsall,457,460,-3,,
21,L,Doko Oluwatimilehin 2,375,512,-137,,
22,L,Samson Okosagah 2,406,456,-50,,
23,L,Ishika Shivalingaiah,450,480,-30,,
24,L,Norases Vesdapunt,375,442,-67,,
25,W,Orlet Bullock,554,365,189,,
26,W,Apirat Choomai,452,415,37,,
27,W,Rasheed Balogun,425,394,31,,
28,W,Edward Okulicz,513,363,150,,
29,W,Natthakorn Siriwatthanaphongsa,522,362,160,,
30,L,Ezinore George,397,398,-1,,
31,W,Pesol Kosalakood 2,583,316,267,,
32,L,Rob Robinsky,383,457,-74,,
33,W,Charles Carneiro,532,388,144,,
34,L,Akegapun Erbprasartsook,360,480,-120,,
35,W,Samrath Singh Bhatia 2,548,374,174,,
36,W,CharnwitS Sukhumrattanaporn,490,439,51,,
