round,result,opponent,player_score,opponent_score,spread,youtube_link,woogles_annotation
1,W,Brian Po,595,361,234,https://youtu.be/U6PxMPn0B9M?si=IFOond4nI2f4lWg8,https://woogles.io/anno/SSxZnmWtM6dSzqwwC553HR
1,W,Brian Po,595,361,234,,https://woogles.io/anno/SSxZnmWtM6dSzqwwC553HR
2,W,Euclid Hui,534,531,3,https://youtu.be/U6PxMPn0B9M?si=IFOond4nI2f4lWg8,https://woogles.io/anno/AZRY2LmFd2mcfEE5TPb9Mh
3,W,Chock Heng Kong,499,356,143,https://youtu.be/Ud_k0Sp_SDs?si=zu7v4PvQ8jNo4-DC,https://woogles.io/anno/UW3MMJWiuanyjAe42qM7kc
4,L,Alexander Gozali,396,518,-122,https://youtu.be/y6eby076BFc?si=WgMupYHHbalEvVJj,https://woogles.io/anno/MYj2hc3Y9kLXyLhqH9UnYF
5,L,Napat Vatjaranurathorn,333,456,-123,https://youtu.be/s37UG5tPfBs?si=3OzJKfvjtEFbE5J2,https://woogles.io/anno/hrLiaTFhtbLQgv6wpFGfv5
6,W,Aditya Iyengar,551,410,141,,https://woogles.io/anno/9NyoDMqRiTTwgfg79dVnp2
7,W,Pesol Kosalakood,534,515,19,,
8,W,Dean Saldanha,451,374,77,,
9,L,Nigel Richards,399,439,-40,,https://woogles.io/anno/hLoRjJfSCXCguXzhGtACho
10,W,Dave Wiegand,403,427,-24,https://youtu.be/Eno0DTq2HCg?si=bMLPeCIn_JUEXn3U,https://woogles.io/anno/DA8jV3K9eGCM3BGFvf4NHp
11,W,Suyash Manchali,567,366,201,,
12,W,Rasheed Balogun,498,415,83,,
13,W,David Webb,453,427,26,,http://woogles.io/anno/krzEwVqi7M5tn8mzW7VZU6
14,W,Thacha Koowirat,454,405,49,,http://woogles.io/anno/7GRqteaSNDVivdnVFhxrPZ
15,W,David Eldar,513,506,7,https://www.youtube.com/watch?v=_59FWagMdwY,http://woogles.io/anno/5E6aawykePXvgtWu8ZfiVg
16,W,Josh Watt,510,341,169,,http://woogles.io/anno/hDeYAF5iQxZZYPgw6rrXND
17,L,Napat Vatjaranurathorn 2,373,617,-244,https://www.youtube.com/watch?v=sGoiFTe2Qow,http://woogles.io/anno/T3y5kdJa5qZvmhpSQtFAYg
18,W,Ben Schoenbrun,435,408,27,https://www.youtube.com/watch?v=1ljlp90DjWw,http://woogles.io/anno/boiamXrSe8XnTnyUeyvjv8
19,W,Dave Wiegand 2,433,410,23,https://www.youtube.com/watch?v=IkvXKSp5BMQ,http://woogles.io/anno/NH5qozrvbEG9uk8QeuBpKg
20,L,Andrew Fisher,435,513,-78,https://www.youtube.com/watch?v=aV491q1FteM,http://woogles.io/anno/ikTnqV6sWtFHiPYpEVNVJR
21,W,Akshay Bhandarkar,466,400,66,https://www.youtube.com/watch?v=9W8AD6TDR2M,http://woogles.io/anno/Zt64PpVHrU6Ymw8K3qkZb8
22,W,Panupol Sujjayakorn,537,449,88,https://www.youtube.com/watch?v=Igo1krapuVg,http://woogles.io/anno/fkpzYLLyFuh54or6a3zQ42
23,W,Dave Wiegand 3,563,340,223,https://www.youtube.com/watch?v=mvOIiybj1ZA,http://woogles.io/anno/XqDtpifFPGdYBjWedkGs8L
24,W,Chaiyottha Manachaisit,460,380,80,https://www.youtube.com/watch?v=tmfMyjg1ksQ,http://woogles.io/anno/P8uvjdRMKciAFrwSP5qNLa
25,W,Jason Keller,426,349,77,https://www.youtube.com/watch?v=VpejcW5Taaw,http://woogles.io/anno/2kggyaqVKXpZP22PX47aAp
26,L,David Eldar 2,501,525,-24,https://www.youtube.com/watch?v=w7pUdDe9lAw,http://woogles.io/anno/Hurr2kYRNWwqDiHU2QLxa5
27,W,Darren Khoo,599,380,219,https://www.youtube.com/watch?v=R2bReIoNSUE,http://woogles.io/anno/67DoYy8hTzvzbrZUJg46oR
28,L,Joshua Castellano,307,413,-106,https://www.youtube.com/watch?v=grwI2GE8xnA,http://woogles.io/anno/gchopczLa55neadW2deLg7
29,L,Thacha Koowirat 2,428,614,-186,https://www.youtube.com/watch?v=vpn6u7UVsZM,http://woogles.io/anno/UXPNuPXTiSdHo4WXUbtZGa
30,W,Aditya Iyengar 2,506,324,182,https://www.youtube.com/watch?v=nFSYyFEfCHI,http://woogles.io/anno/LNwZW3Ansk3NQAtxm4CfHp
31,W,Thacha Koowirat 3,448,422,26,,
32,L,David Eldar 3,405,437,-32,,
33,L,David Eldar 4,365,498,-133,,
34,W,Dave Wiegand 4,294,444,-150,,
35,L,Harshan Lamabadusuriya,351,443,-92,,
36,L,Panupol Sujjayakorn 2,410,451,-41,,
