round,result,opponent,player_score,opponent_score,spread,youtube_link,woogles_annotation
1,L,Vannitha Balasingam,399,430,-31,,
1,L,Vannitha Balasingam,399,430,-31,,
2,W,Jimoh Abdulmumin,431,327,104,,
3,L,Dean Saldanha,375,533,-158,,
4,L,Udayan Grover,475,483,-8,,
5,W,Anthony Ikolo,508,330,178,,
6,W,Gerry Carter,455,357,98,,
7,L,Unknown,442,482,-40,,
8,L,Jimoh Abdulmumin 2,361,497,-136,,
9,W,Ishika Shivalingaiah,479,358,121,,
10,L,Siu Hean Cheah,420,526,-106,,
11,W,Orlet Bullock,390,389,1,,
12,L,Udayan Grover 2,398,487,-89,,
13,W,Ming Hui Hubert Wee,373,390,-17,,
14,L,Natthakorn Siriwatthanaphongsa,472,473,-1,,
15,L,Chock Heng Kong,409,526,-117,,
16,W,Ryan Wee,482,334,148,,
17,W,Samuel Crispin,477,423,54,,
18,L,Anthony Ikolo 2,407,506,-99,,
19,W,Samrath Singh Bhatia,438,381,57,,
20,W,CharnwitI Iamudom,494,345,149,,
21,L,Sujana Somasekar,368,424,-56,,
22,L,Vannitha Balasingam 2,436,485,-49,,
23,L,Rik Kennedy,403,422,-19,,
24,W,Chock Heng Kong 2,424,342,82,,
25,L,Natthakorn Siriwatthanaphongsa 2,452,469,-17,,
26,W,Ishika Shivalingaiah 2,420,365,55,,
27,W,CharnwitI Iamudom 2,552,413,139,,
28,L,Dean Saldanha 2,319,501,-182,,
29,L,Trevor Halsall,308,477,-169,,
30,W,Euclid Hui,476,429,47,,
31,W,Rik Kennedy 2,420,419,1,,
32,W,Norases Vesdapunt,514,435,79,,
33,L,Sujana Somasekar 2,297,511,-214,,
34,W,Charae Worapotpisut,552,404,148,,
35,W,Sujana Somasekar 3,540,419,121,,
36,W,Jack Moran,425,337,88,,
