round,result,opponent,player_score,opponent_score,spread,youtube_link,woogles_annotation
1,W,Samuel Crispin,420,387,33,,http://woogles.io/anno/ELKEAjeKnbAGyFQmTRSrR5
1,W,Samuel Crispin,420,387,33,,
2,L,Dean Saldanha,381,411,-30,,
3,L,Natalie Zolty,351,478,-127,,
4,L,Sherwin Rodrigues,442,446,-4,,
5,W,William Kang,430,399,31,,
6,L,Anthony Ikolo,359,419,-60,,
7,W,Waseem Khatri,521,477,44,,
8,W,J Jeyaseelan,483,433,50,,
9,L,Norases Vesdapunt,325,433,-108,,
10,W,Nopparuj Tipkaew,510,387,123,,
11,L,Aditya Iyengar,429,483,-54,,
12,L,Rik Kennedy,398,484,-86,,
13,W,Anthony Ikolo 2,570,405,165,,
14,L,Nopparuj Tipkaew 2,440,463,-23,,
15,W,Ishika Shivalingaiah,431,387,44,,
16,L,Samrath Singh Bhatia,421,422,-1,,
17,W,Natthakorn Siriwatthanaphongsa,506,367,139,,
18,W,Nuti Suri,555,307,248,,
19,W,Rasheed Balogun,568,487,81,,
20,W,Ezinore George,427,375,52,,
21,L,Piotr Andronowski,463,464,-1,,
22,W,Ming Hui Hubert Wee,428,387,41,,
23,L,Siu Hean Cheah,363,493,-130,,
24,W,Nuti Suri 2,443,332,111,,
25,W,Soramet Mettaviharee,455,418,37,,
26,W,Puttapong Moonsarn,459,402,57,,
27,W,CharnwitS Sukhumrattanaporn,529,437,92,,
28,L,Nigel Richards,373,631,-258,,
30,W,Panupol Sujjayakorn,493,413,80,,
31,W,Andrew Fisher,497,337,160,,
32,L,Samson Okosagah,405,426,-21,,
33,L,Chaiyottha Manachaisit,391,407,-16,,
34,W,Nuti Suri 3,491,380,111,,
35,W,Chaiyottha Manachaisit 2,539,437,102,,
36,L,Aditya Iyengar 2,400,450,-50,,
