round,result,opponent,player_score,opponent_score,spread,youtube_link,woogles_annotation
1,L,Nuti Suri,353,500,-147,,
1,L,Nuti Suri,353,500,-147,,
2,W,Dave Wiegand,296,455,-159,,
3,L,Austin Shin,325,554,-229,,
4,L,Sanhanat Klanying,348,498,-150,,
5,L,CharnwitI Iamudom,326,557,-231,,
6,W,Orlet Bullock,486,373,113,,
7,L,Thitipol Barameemuang,389,455,-66,,
8,W,Ryan Wee,458,456,2,,
9,L,Doko Oluwatimilehin,470,562,-92,,
10,L,Sherwin Rodrigues,375,556,-181,,
11,W,William Kang,391,434,-43,,
12,L,Doko Oluwatimilehin 2,293,554,-261,,
13,L,Jack Moran,352,432,-80,,
14,L,Apirat Choomai,284,570,-286,,
15,L,Thitipol Barameemuang 2,336,412,-76,,
16,W,Charae Worapotpisut,367,464,-97,,
17,W,Thomson Law,455,431,24,,
18,W,Samuel Crispin,437,406,31,,
19,W,J Jeyaseelan,456,408,48,,
20,L,Siddharth Nithyanand,278,528,-250,,
21,L,J Jeyaseelan 2,310,513,-203,,
22,W,Unknown,,,,,
23,L,Thomson Law 2,404,445,-41,,
24,L,Samuel Crispin 2,361,412,-51,,
25,W,Siddharth Nithyanand 2,488,386,102,,
26,L,Gerry Carter,328,492,-164,,
27,L,Thitipol Barameemuang 3,381,458,-77,,
28,W,Charae Worapotpisut 2,283,434,-151,,
29,W,Chock Heng Kong,508,381,127,,
30,W,Russell Honeybun,488,337,151,,
31,L,Siddharth Nithyanand 3,416,438,-22,,
32,L,Siddharth Nithyanand 4,358,607,-249,,
33,W,Gerry Carter 2,491,333,158,,
34,W,Gerry Carter 3,475,456,19,,
35,L,Gerry Carter 4,348,415,-67,,
36,L,Gerry Carter 5,350,440,-90,,
