round,result,opponent,player_score,opponent_score,spread,youtube_link,woogles_annotation
1,W,Charles Carneiro,19,16,3,https://youtu.be/dI7ziEulW-M?si=AeZV6xzTsuGL2c8h,https://woogles.io/anno/JGMhfSmywdoaTBPrwd5nPQ
1,L,Charles Carneiro,381,515,-134,https://youtu.be/dI7ziEulW-M?si=AeZV6xzTsuGL2c8h,https://woogles.io/anno/JGMhfSmywdoaTBPrwd5nPQ
1,L,Charles Carneiro,381,515,-134,https://youtu.be/dI7ziEulW-M?si=AeZV6xzTsuGL2c8h,https://woogles.io/anno/JGMhfSmywdoaTBPrwd5nPQ
2,L,Jason Keller,449,481,-32,,
3,W,Jason Carney,396,375,21,,
4,W,Euclid Hui,530,452,78,,
5,W,Josh Watt,389,424,-35,,
6,W,Sherwin Rodrigues,438,401,37,,
7,L,Kian Boon Liew,391,506,-115,,
8,W,Thomson Law,493,454,39,,
9,W,CharnwitI Iamudom,441,437,4,,
10,L,Jakkrit Klaphajone,350,523,-173,,
11,L,Samrath Singh Bhatia,429,431,-2,,
12,W,Edward Okulicz,556,388,168,,
13,W,Marlon Prudencio,390,373,17,,
14,W,Akegapun Erbprasartsook,495,469,26,,
15,L,Joshua Castellano,447,455,-8,,
16,L,Jakkrit Klaphajone 2,403,499,-96,,
17,W,Trevor Halsall,450,390,60,,
18,W,Unknown,442,442,0,,
19,W,Sanhanat Klanying,488,436,52,,
20,W,Austin Shin,419,387,32,,
21,L,Alexander Gozali,443,468,-25,,
22,L,Michael Gongolo,387,428,-41,,
23,L,Suyash Manchali,442,494,-52,,
24,W,Austin Shin 2,531,433,98,,
25,W,Waseem Khatri 2,525,314,211,,
26,W,Natalie Zolty,511,464,47,,
27,L,Samson Okosagah,371,502,-131,,
28,W,Brian Po,590,335,255,,
29,L,Soramet Mettaviharee,448,459,-11,,
30,W,Josh Watt 2,436,488,-52,,
31,W,Waseem Khatri 3,443,429,14,,
32,W,Unknown,486,329,157,,
33,W,Natalie Zolty 2,464,426,38,,
34,L,Alexander Gozali 2,403,464,-61,,
35,L,Soramet Mettaviharee 2,380,417,-37,,
36,W,Trevor Halsall 2,504,495,9,,
