round,result,opponent,player_score,opponent_score,spread,youtube_link,woogles_annotation
1,W,Sanhanat Klanying,483,379,104,https://youtu.be/s37UG5tPfBs?si=3OzJKfvjtEFbE5J2,https://woogles.io/anno/mv8nRR2YToburhetEMQT8L
1,W,Sanhanat Klanying,483,379,104,,https://woogles.io/anno/mv8nRR2YToburhetEMQT8L
2,W,Trevor Halsall,472,432,40,,https://woogles.io/anno/hK6zYHPrR8tWQq3yPjToeX
3,W,Suyash Manchali,465,378,87,,
4,W,CharnwitS Sukhumrattanaporn,432,405,27,,https://woogles.io/anno/ScfN4FEWLz25uCFWjqxKRP
5,W,Madhav Gopal Kamath,456,333,123,https://youtu.be/s37UG5tPfBs?si=3OzJKfvjtEFbE5J2,https://woogles.io/anno/hrLiaTFhtbLQgv6wpFGfv5
6,W,Darren Khoo,508,473,35,https://youtu.be/ac6bIWfyRaA?si=Ge8d96aCfP554HO1,https://woogles.io/anno/bVKJ4c6Ri47tjeUfESkugE
7,W,Cameron Farlow,458,437,21,https://youtu.be/UB1BVTx1pg0?si=fjcLwx-yufbMD57J,https://woogles.io/anno/UH2rbxHGJYLiFXVnkWDf8s
8,W,Dave Wiegand,468,417,51,https://youtu.be/dnVPiEEbOyA?si=DGmsEssDPLZZw_4h,https://woogles.io/anno/DttdhDUzDhgfA23WFRVa2N
9,W,Andrew Fisher,536,482,54,https://youtu.be/hTRuKm1NlGE?si=IjrHcDmqZnbJ0LdP,https://woogles.io/anno/S4HjnD84gDRspjKVcxDeWV
10,W,Josh Watt,360,410,-50,https://youtu.be/r4S8K6yCsR4?si=rzEszGsCevM1X6Z7,https://woogles.io/anno/RUrCYhd6PdDhNRpPJRH4DJ
11,W,Josh Watt 2,374,416,-42,https://www.youtube.com/watch?v=vEDCsH3inqc,https://woogles.io/anno/FhNskYqa63HYfcGPGY2ZUC
12,W,Andrew Fisher 2,403,377,26,https://www.youtube.com/watch?v=5EsmVsz9BNg,https://woogles.io/anno/KjGU7VJM8YWc3jJRTpNvaP
13,W,Akshay Bhandarkar,456,344,112,https://www.youtube.com/watch?v=6asoUDSQVzk,http://woogles.io/anno/bHHUEW3YiRQ4ZosJFEWR9e
14,L,Ben Schoenbrun,353,411,-58,https://www.youtube.com/watch?v=pq7A7ck-Eew,http://woogles.io/anno/bySqCJJ9Vj8kRWD6ovZd6G
15,W,Jason Keller,436,371,65,https://www.youtube.com/watch?v=4Bu8ul8SY2k,http://woogles.io/anno/HEY387L9TR626bPiQrdG29
16,W,Dave Wiegand 2,346,574,-228,https://www.youtube.com/watch?v=2CYx3sKcTf8,http://woogles.io/anno/5yqSrs5DWKRakEoFYnF3Rr
17,W,Madhav Gopal Kamath 2,617,373,244,https://www.youtube.com/watch?v=sGoiFTe2Qow,http://woogles.io/anno/T3y5kdJa5qZvmhpSQtFAYg
18,L,David Eldar,309,491,-182,https://www.youtube.com/watch?v=R3T3FM2X2-A,http://woogles.io/anno/B5WLNNdBczhGnEf6VMojej
19,L,Chaiyottha Manachaisit,399,429,-30,https://www.youtube.com/watch?v=C3dtGO9d7FY,http://woogles.io/anno/4DipQPcC8GnfaM3Gba5mnH
20,L,Thacha Koowirat,401,426,-25,,http://woogles.io/anno/QLXSjBbcK7wUBEsLS96qzz
21,L,Komol Panyasophonlert,326,456,-130,,http://woogles.io/anno/LmWVHPUZpLjYwBeHvxPvLf
22,L,Thacha Koowirat 2,328,450,-122,,http://woogles.io/anno/hdjpb4HBEenmTF23e4nWCi
23,L,Alexander Gozali,439,497,-58,,http://woogles.io/anno/LB9EVqiTULCZQQtBAh6Jcc
24,W,Irfan Siddiqui,538,354,184,,
25,W,Ben Schoenbrun 2,501,333,168,,http://woogles.io/anno/7Ym32SYY87zvrQwhBtWfio
26,W,Panupol Sujjayakorn,537,418,119,,
27,W,Akshay Bhandarkar 2,491,376,115,,http://woogles.io/anno/iBPGrtRtabDg4LSChnEgTW
28,L,Kian Boon Liew,334,509,-175,,http://woogles.io/anno/bxnjMF4G2Sy3fZ3oNQVud6
29,L,Chaiyottha Manachaisit 2,341,416,-75,,http://woogles.io/anno/XfTFJsfwQnc5UeTZG3qRSk
30,W,Nigel Richards,585,398,187,,http://woogles.io/anno/WLuaZkUW3DmTxHVozejVZ9
31,W,Darren Khoo 2,494,397,97,,
32,W,Chaiyottha Manachaisit 3,543,362,181,,
33,L,Jason Keller 2,374,446,-72,,
34,L,Panupol Sujjayakorn 2,376,390,-14,,
35,W,Andrew Fisher 3,517,474,43,,
36,L,Jason Keller 3,384,450,-66,,
