round,result,opponent,player_score,opponent_score,spread,youtube_link,woogles_annotation
1,W,Orlet Bullock,446,331,115,,https://woogles.io/anno/JvH9Z2NGJ74f6jL3BVpfVi
1,W,Orlet Bullock,446,331,115,,
2,W,Brian Po,526,469,57,,https://woogles.io/anno/JvH9Z2NGJ74f6jL3BVpfVi
3,W,Michael Gongolo,478,351,127,,
4,L,Unknown,382,529,-147,,https://woogles.io/anno/B7gBQBdDAno3iMywEjqQQV
5,L,CharnwitS Sukhumrattanaporn,425,503,-78,,https://woogles.io/anno/g6dor6XhivqAMgLgYXG7kg
6,W,Trevor Halsall,467,378,89,,https://woogles.io/anno/BezuJuXArmB5iSCPFoXfah
7,L,Russell Honeybun,474,530,-56,,
8,L,Darren Khoo,401,552,-151,,https://woogles.io/anno/UydAM3jiQ2QkDACBwMwhLN
9,W,Edward Okulicz,552,368,184,,
10,L,Piotr Andronowski,465,486,-21,,
11,W,Dean Saldanha,471,397,74,,
12,L,Brian Po 2,310,464,-154,,
13,W,Aditya Iyengar,411,390,21,,
15,L,Trevor Halsall 2,435,442,-7,,
16,L,Harshan Lamabadusuriya,370,469,-99,,
17,L,Austin Shin,377,588,-211,,
18,W,Odette Rio,464,391,73,,
19,W,Lukeman Owolabi,490,445,45,,
20,L,Udayan Grover,415,477,-62,,
21,W,Sherwin Rodrigues,505,334,171,,
22,W,Unknown,366,357,9,,
23,W,Waseem Khatri,377,419,-42,,
24,W,Suyash Manchali 2,444,410,34,,
25,W,Trevor Halsall 3,483,425,58,,
26,W,Ming Hui Hubert Wee,464,511,-47,,
27,W,Soramet Mettaviharee,477,300,177,,
28,L,Unknown,442,444,-2,,
29,W,Alexander Gozali,478,407,71,,
30,W,CharnwitS Sukhumrattanaporn 2,501,381,120,,
31,W,Unknown,492,420,72,,
32,L,Nuti Suri,377,484,-107,,
33,W,Ming Hui Hubert Wee 2,426,464,-38,,
34,L,Unknown,306,525,-219,,
35,L,Trevor Halsall 4,360,568,-208,,
36,L,Akegapun Erbprasartsook,488,592,-104,,
