round,result,opponent,player_score,opponent_score,spread,youtube_link,woogles_annotation
1,W,Sujana Somasekar,467,437,30,https://youtu.be/lq4d9vnoXPI?si=24IrDvs542Jeu4qc,https://woogles.io/anno/gzfZV6QoEJBPocL6ybnrqB
1,W,Sujana Somasekar,467,437,30,,
2,W,Sherwin Rodrigues,509,491,18,,
3,L,Ricky Purnomo,334,429,-95,,
4,L,Cameron Farlow,443,465,-22,https://youtu.be/lq4d9vnoXPI?si=24IrDvs542Jeu4qc,https://woogles.io/anno/gzfZV6QoEJBPocL6ybnrqB
5,L,Dean Saldanha,433,515,-82,,
6,L,Nopparuj Tipkaew,397,485,-88,,
7,W,Marlon Prudencio,482,442,40,,
8,W,William Kang,359,390,-31,,
9,W,Thomson Law,446,356,90,,
10,L,Anthony Ikolo,437,457,-20,,
11,W,CharnwitI Iamudom,405,402,3,,
12,W,Norases Vesdapunt,469,417,52,,
13,W,Akegapun Erbprasartsook,414,389,25,,
14,W,Austin Shin,478,468,10,,
15,W,Panupol Sujjayakorn,422,387,35,,
16,L,Joshua Castellano,410,532,-122,,
17,L,Chaiyottha Manachaisit,446,539,-93,,
18,W,Sanhanat Klanying,434,363,71,,
19,W,Rik Kennedy,499,469,30,,
20,L,Nigel Richards,433,541,-108,,
21,L,Jakkrit Klaphajone,422,463,-41,,
22,L,Cameron Farlow 2,343,478,-135,,
23,W,Russell Honeybun,495,383,112,,
24,W,Dean Saldanha 2,499,324,175,,
25,L,Piotr Andronowski,449,515,-66,,
26,W,Siu Hean Cheah,548,271,277,,
27,L,Unknown,366,498,-132,,
28,W,Natalie Zolty,444,442,2,,
29,W,Sherwin Rodrigues 2,518,453,65,,
30,W,Udayan Grover,439,391,48,,
31,L,Natalie Zolty 2,420,492,-72,,
32,W,Ming Hui Hubert Wee,329,486,-157,,
33,W,Irfan Siddiqui,390,330,60,,
34,W,Natalie Zolty 3,525,306,219,,
35,W,Siu Hean Cheah 2,441,429,12,,
36,W,Chaiyottha Manachaisit 2,444,403,41,,
