round,result,opponent,player_score,opponent_score,spread,youtube_link,woogles_annotation
1,W,Samson Okosagah,526,398,128,https://youtu.be/oZuaAeeYtM8?si=xRuPx5_uRw7Y3kff,https://woogles.io/anno/5NwBUcHxpcrB3vBRTpPv3N
1,W,Samson Okosagah,526,398,128,,
2,W,Thitipol Barameemuang,491,388,103,,https://woogles.io/anno/5NwBUcHxpcrB3vBRTpPv3N
3,W,Unknown,488,388,100,,https://woogles.io/anno/Nzk23jVjACNvtHwcS8Lqio
4,W,Andrew Fisher,493,411,82,,https://woogles.io/anno/Pw6WE6SwhNJqDdDojfTeYN
5,W,Weibin Toh,393,440,-47,,https://woogles.io/anno/VLxZ2eSJm2BuipCVoWZUtU
6,W,Dave Wiegand,430,556,-126,https://youtu.be/oZuaAeeYtM8?si=xRuPx5_uRw7Y3kff,https://woogles.io/anno/EriFu6vjpGsLnYbsTCdzbp
7,L,CharnwitS Sukhumrattanaporn,404,530,-126,,https://woogles.io/anno/cRTEuG79JW2HXPkK8murxV
8,W,David Eldar,484,430,54,,
9,L,Darren Khoo,356,604,-248,,
10,L,Charles Carneiro,406,460,-54,,
11,L,Jakkrit Klaphajone,416,454,-38,,
12,L,Harshan Lamabadusuriya,444,539,-95,,
13,L,Ezinore George,394,455,-61,,
14,W,Marlon Prudencio,473,472,1,,
15,W,Orlet Bullock,496,389,107,,
16,L,Ishika Shivalingaiah,348,377,-29,,
17,L,Michael Gongolo,367,506,-139,,
18,L,Samrath Singh Bhatia,424,482,-58,,
19,W,Akegapun Erbprasartsook,477,369,108,,
20,L,Unknown,100,100,0,,
21,W,William Kang,445,415,30,,
22,L,Akegapun Erbprasartsook 2,371,422,-51,,
23,W,Ryan Wee,454,411,43,,
24,L,Anthony Ikolo,392,449,-57,,
25,W,Marlon Prudencio 2,469,452,17,,
26,L,Rik Kennedy,359,369,-10,,
27,W,Rob Robinsky,478,401,77,,
28,L,Norases Vesdapunt,409,413,-4,,
29,L,Lukeman Owolabi,362,522,-160,,
30,L,Nopparuj Tipkaew,451,477,-26,,
31,W,Charae Worapotpisut,444,449,-5,,
32,L,Russell Honeybun,385,563,-178,,
33,W,Chock Heng Kong,538,448,90,,
34,W,Thitipol Barameemuang 2,466,394,72,,
35,L,Thomson Law,381,487,-106,,
36,W,Thitipol Barameemuang 3,427,407,20,,
