round,result,opponent,player_score,opponent_score,spread,youtube_link,woogles_annotation
1,L,CharnwitI Iamudom,23,13,10,https://youtu.be/l1tEjRzvgKo?si=Lfi3YxK1IVHyq6hl,https://woogles.io/anno/MU5hAJj4yWe5K5EDV9xJNS
1,W,CharnwitI Iamudom,510,461,49,https://youtu.be/l1tEjRzvgKo?si=Lfi3YxK1IVHyq6hl,https://woogles.io/anno/MU5hAJj4yWe5K5EDV9xJNS
1,W,CharnwitI Iamudom,510,461,49,https://youtu.be/l1tEjRzvgKo?si=Lfi3YxK1IVHyq6hl,https://woogles.io/anno/MU5hAJj4yWe5K5EDV9xJNS
2,L,Norases Vesdapunt,344,450,-106,,
3,W,Akshay Bhandarkar,434,424,10,,https://woogles.io/anno/aGfEZULNPfrtvo4KPDKwNP
4,W,Samson Okosagah,437,420,17,,
5,W,Jakkrit Klaphajone,569,434,135,,
6,L,Komol Panyasophonlert,464,545,-81,,
7,W,Panupol Sujjayakorn,468,387,81,,https://woogles.io/anno/VDLnzVJ9FQ2VFrzmnuGQkQ
8,W,Thacha Koowirat,444,405,39,,
9,W,Madhav Gopal Kamath,439,399,40,,https://woogles.io/anno/hLoRjJfSCXCguXzhGtACho
10,L,Rob Robinsky,414,434,-20,,https://woogles.io/anno/CJqjBZ7FTaPpg5LEsU78za
11,W,Ricky Purnomo,525,381,144,,https://woogles.io/anno/XXDTKU3X2CbYmEa9iiwbW4
12,W,Puttapong Moonsarn,442,366,76,,https://woogles.io/anno/KYCobsBajXWA8FoSqZsxM8
13,L,Jason Keller,352,484,-132,,http://woogles.io/anno/So7kNY4cZv8sVfgP7mZvxb
14,W,Dave Wiegand,410,465,-55,,http://woogles.io/anno/XQHKdTsnweEmZxecHmUSLC
15,W,Weibin Toh,414,469,-55,,http://woogles.io/anno/KzGF5tF2gR83hiL2Puqgbj
16,L,Brian Po,387,486,-99,,
17,L,Russell Honeybun,427,454,-27,,
18,W,Jakkrit Klaphajone 2,447,313,134,,
19,W,Charles Carneiro,520,418,102,,
20,W,Unknown,541,433,108,,
21,W,Ben Schoenbrun,558,456,102,,http://woogles.io/anno/REhmx5CPPoW4TPjreFBj5Z
22,L,David Eldar,378,606,-228,https://www.youtube.com/watch?v=3iLAOx4aeZo&pp=0gcJCR4LAYcqIYzv,http://woogles.io/anno/LzyDmUmS5RBaqhpHwEDu4E
23,L,Aditya Iyengar,321,387,-66,,http://woogles.io/anno/oPLjcAcKcT83NemQDLa2wU
24,W,Cameron Farlow,434,433,1,,
25,L,Kian Boon Liew,378,516,-138,,
26,W,Irfan Siddiqui,535,443,92,,
27,W,Puttapong Moonsarn 2,446,320,126,,
28,W,Michael Gongolo,631,373,258,,
29,L,Komol Panyasophonlert 2,427,444,-17,,http://woogles.io/anno/V2Pi8gwdcwyZNwajrjyvr9
30,L,Napat Vatjaranurathorn,398,585,-187,,http://woogles.io/anno/WLuaZkUW3DmTxHVozejVZ9
31,W,Unknown,474,337,137,,
32,W,Andrew Fisher,408,398,10,,
33,W,Nuti Suri,500,392,108,,
34,W,Chaiyottha Manachaisit,492,405,87,,
35,W,Aditya Iyengar 2,481,394,87,,
36,W,Ben Schoenbrun 2,472,453,19,,
