round,result,opponent,player_score,opponent_score,spread,youtube_link,woogles_annotation
1,L,Andrew Fisher,388,457,-69,,
1,L,Andrew Fisher,388,457,-69,,
2,L,Samuel Crispin,472,542,-70,,
3,W,Irfan Siddiqui,443,388,55,,
4,W,Gerry Carter,536,369,167,,
5,L,Ishika Shivalingaiah,356,446,-90,,
6,W,Unknown,485,397,88,,
7,W,Siddharth Nithyanand,519,451,68,,
8,L,Aditya Iyengar,403,429,-26,,
9,L,Austin Shin,489,535,-46,,
10,L,Michael Gongolo,387,510,-123,,
11,W,Charae Worapotpisut,508,351,157,,
12,L,Odette Rio,382,462,-80,,
13,L,Jimoh Abdulmumin,404,515,-111,,
14,W,Michael Gongolo 2,463,440,23,,
15,W,Anthony Ikolo,549,376,173,,
16,W,Akegapun Erbprasartsook,465,441,24,,
17,L,Rasheed Balogun,505,514,-9,,
18,L,Dean Saldanha,413,449,-36,,
19,W,David Webb,372,519,-147,,
20,W,Vannitha Balasingam,428,373,55,,
21,W,Rik Kennedy,522,510,12,,
22,W,Chock Heng Kong,420,281,139,,
23,L,Unknown,418,542,-124,,
24,W,David Webb 2,437,455,-18,,
25,W,William Kang,429,555,-126,,
26,L,Jack Moran,366,576,-210,,
27,W,Vannitha Balasingam 2,466,442,24,,
28,L,Samuel Crispin 2,390,504,-114,,
29,W,Anthony Ikolo 2,460,364,96,,
30,W,Natthakorn Siriwatthanaphongsa,477,451,26,,
31,W,Dean Saldanha 2,512,357,155,,
32,L,Odette Rio 2,316,419,-103,,
33,L,Dean Saldanha 3,353,509,-156,,
34,L,Vannitha Balasingam 3,327,390,-63,,
35,W,Pesol Kosalakood,488,380,108,,
36,W,Ezinore George,445,306,139,,
