round,result,opponent,player_score,opponent_score,spread,youtube_link,woogles_annotation
1,L,CharnwitS Sukhumrattanaporn,406,407,-1,,
1,L,CharnwitS Sukhumrattanaporn,406,407,-1,,
2,W,Nigel Richards,450,344,106,,
3,W,Ryan Wee,565,305,260,,
4,L,Joshua Castellano,352,445,-93,,
5,L,Rik Kennedy,387,401,-14,,
6,L,Thacha Koowirat,362,507,-145,,
7,W,Chock Heng Kong,428,324,104,,
8,L,Jason Keller,275,468,-193,,
9,W,Michael Gongolo,433,325,108,,
10,L,Odette Rio,345,455,-110,,
11,L,Udayan Grover,413,486,-73,,
12,L,Unknown,417,469,-52,,
13,L,Odette Rio 2,389,449,-60,,
14,L,Chock Heng Kong 2,343,405,-62,,
15,W,Sanjoy Gupta,478,310,168,,
16,W,CharnwitI Iamudom,441,392,49,,
17,W,Gerry Carter,398,394,4,,
18,W,Charae Worapotpisut,351,460,-109,,
19,W,Ishika Shivalingaiah,503,347,156,,
20,L,Anthony Ikolo,427,469,-42,,
21,L,Edward Okulicz,419,516,-97,,
22,W,Charae Worapotpisut 2,354,535,-181,,
23,L,Rasheed Balogun,414,488,-74,,
24,W,Lukeman Owolabi,442,375,67,,
25,W,Sanjoy Gupta 2,489,375,114,,
26,W,CharnwitI Iamudom 2,473,398,75,,
27,W,Ishika Shivalingaiah 2,412,409,3,,
28,W,Natthakorn Siriwatthanaphongsa,413,409,4,,
29,W,Dean Saldanha,462,395,67,,
30,L,Samuel Crispin,430,450,-20,,
31,L,Sujana Somasekar,374,403,-29,,
32,L,Marlon Prudencio,435,514,-79,,
33,W,Apirat Choomai,428,414,14,,
34,L,Jack Moran,387,491,-104,,
35,W,Apirat Choomai 2,428,341,87,,
36,W,Sujana Somasekar 2,445,350,95,,
