round,result,opponent,player_score,opponent_score,spread,youtube_link,woogles_annotation
1,W,Mike Baron,500,353,147,,https://woogles.io/anno/NBERLUr2Ka3T7Bf8aypfJE
1,W,Mike Baron,500,353,147,,
2,L,Russell Honeybun,429,470,-41,,https://woogles.io/anno/NBERLUr2Ka3T7Bf8aypfJE
3,W,Dave Wiegand,392,526,-134,,https://woogles.io/anno/hLtBYUq8YQgasZNQb3nTxt
4,W,Siu Hean Cheah,459,364,95,,
5,L,Jimoh Abdulmumin,413,467,-54,,
6,L,Vannitha Balasingam,352,467,-115,,
7,L,Samrath Singh Bhatia,389,526,-137,,
8,L,Siddharth Nithyanand,427,442,-15,,
9,W,Sanjoy Gupta,475,382,93,,
10,L,Gerry Carter,247,434,-187,,
11,W,Sanjoy Gupta 2,394,307,87,,
12,L,Siddharth Nithyanand 2,369,446,-77,,
13,W,Sherwin Rodrigues,499,395,104,,
14,W,J Jeyaseelan,519,389,130,,
15,L,Akegapun Erbprasartsook,437,516,-79,,
16,W,Orlet Bullock,463,336,127,,
17,W,Anthony Ikolo,483,351,132,,
18,L,Michael Gongolo,307,555,-248,,
19,W,Dean Saldanha,460,430,30,,
20,W,Edward Okulicz,476,325,151,,
21,W,Euclid Hui,452,377,75,,
22,W,Odette Rio,428,388,40,,
23,W,Pesol Kosalakood,484,437,47,,
24,L,Michael Gongolo 2,332,443,-111,,
25,W,Weibin Toh,558,409,149,,
26,W,Piotr Andronowski,487,301,186,,
27,L,Ben Schoenbrun,391,457,-66,,
28,W,CharnwitS Sukhumrattanaporn,477,375,102,,
29,W,Ricky Purnomo,466,395,71,,
30,L,Darren Khoo,402,540,-138,,
31,W,Cameron Farlow,409,399,10,,
32,W,Natalie Zolty,484,377,107,,
33,L,Nigel Richards,392,500,-108,,
34,L,Michael Gongolo 3,380,491,-111,,
35,W,Unknown,428,374,54,,
36,W,Andrew Fisher,459,320,139,,
