round,result,opponent,player_score,opponent_score,spread,youtube_link,woogles_annotation
1,L,Josh Watt,18,18,0,,https://woogles.io/anno/j8jTVvGCLys5DpKEq2wLnn
1,W,Josh Watt,407,402,5,,https://woogles.io/anno/j8jTVvGCLys5DpKEq2wLnn
1,W,Josh Watt,407,402,5,,
2,W,CharnwitI Iamudom,510,416,94,,
3,L,Thomson Law,357,466,-109,,
4,L,Darren Khoo,469,603,-134,,https://woogles.io/anno/j8jTVvGCLys5DpKEq2wLnn
5,L,Ricky Purnomo,455,477,-22,,
6,W,David Webb,429,328,101,,
7,L,Harshan Lamabadusuriya,355,391,-36,,
8,L,Chaiyottha Manachaisit,348,495,-147,,
9,L,Aditya Iyengar,369,468,-99,,
10,W,Norases Vesdapunt,455,345,110,,
11,L,Ezinore George,360,492,-132,,
12,W,Nopparuj Tipkaew,462,382,80,,
13,W,Norases Vesdapunt 2,449,389,60,,
14,W,Waseem Khatri,484,414,70,,
15,L,Sanhanat Klanying,404,440,-36,,
16,W,Jason Carney,427,426,1,,
17,W,Udayan Grover,406,403,3,,
18,L,Natalie Zolty,391,464,-73,,
19,W,Jesse Day,421,419,2,,
20,L,Jimoh Abdulmumin,419,470,-51,,
21,W,Jason Carney 2,541,318,223,,
22,L,Nuti Suri,388,428,-40,,
23,L,Harshan Lamabadusuriya 2,388,452,-64,,
24,W,Charles Carneiro,466,332,134,,
25,L,Sherwin Rodrigues,362,469,-107,,
26,L,Sanhanat Klanying 2,330,414,-84,,
27,W,Ryan Wee,491,391,100,,
28,W,Jack Moran,484,401,83,,
29,W,Doko Oluwatimilehin,477,437,40,,
30,W,William Kang,414,485,-71,,
31,W,David Webb 2,405,471,-66,,
32,W,Nopparuj Tipkaew 2,419,316,103,,
33,W,Weibin Toh,362,426,-64,,
34,W,Samuel Crispin,481,421,60,,
35,W,Ricky Purnomo 2,488,308,180,,
36,L,Jakkrit Klaphajone,387,427,-40,,
