round,result,opponent,player_score,opponent_score,spread,youtube_link,woogles_annotation
1,L,Natalie Zolty,331,446,-115,,
1,L,Natalie Zolty,331,446,-115,,
2,L,Samson Okosagah,331,494,-163,,
3,L,Samuel Crispin,443,476,-33,,
4,L,Ben Schoenbrun,367,381,-14,,
5,L,Sanhanat Klanying,387,455,-68,,
6,L,Mike Baron,373,486,-113,,
7,W,Doko Oluwatimilehin,500,401,99,,
8,W,Thitipol Barameemuang,441,411,30,,
9,W,Gerry Carter,379,376,3,,
10,W,J Jeyaseelan,536,392,144,,
11,L,Marlon Prudencio,389,390,-1,,
12,L,Ezinore George,442,453,-11,,
13,W,Samuel Crispin 2,516,328,188,,
14,W,Charae Worapotpisut,480,354,126,,
15,L,Natthakorn Siriwatthanaphongsa,389,496,-107,,
16,L,Nuti Suri,336,463,-127,,
17,L,Sherwin Rodrigues,373,495,-122,,
18,W,Unknown,375,375,0,,
19,W,Anthony Ikolo,541,362,179,,
20,W,William Kang,317,450,-133,,
21,W,Rasheed Balogun,426,339,87,,
22,L,Sanjoy Gupta,355,525,-170,,
23,L,Ezinore George 2,401,540,-139,,
24,L,Ishika Shivalingaiah,275,465,-190,,
25,L,Lukeman Owolabi,365,554,-189,,
26,W,Thomson Law,504,401,103,,
27,W,Siddharth Nithyanand,519,366,153,,
28,W,J Jeyaseelan 2,458,453,5,,
29,L,J Jeyaseelan 3,382,417,-35,,
30,L,Apirat Choomai,402,404,-2,,
31,W,Sanjoy Gupta 2,439,428,11,,
32,L,CharnwitI Iamudom,373,417,-44,,
33,L,Sanjoy Gupta 3,393,434,-41,,
34,L,Edward Okulicz,373,415,-42,,
35,W,Unknown,,,,,
36,L,Edward Okulicz 2,423,445,-22,,
