round,result,opponent,player_score,opponent_score,spread,youtube_link,woogles_annotation
1,W,Dean Saldanha,499,391,108,https://youtu.be/yTmtlKPjGNg?si=x7yLtvIh1ZOb8fOQ,https://woogles.io/anno/LVfK6bxUz3Z89vBeqEcgzU
1,W,Dean Saldanha,499,391,108,,
2,L,Piotr Andronowski,419,424,-5,,
3,W,Vannitha Balasingam,450,367,83,,
4,W,Jason Keller,498,471,27,,
5,W,Rasheed Balogun,463,389,74,,
6,W,Weibin Toh,444,394,50,,https://woogles.io/anno/LVfK6bxUz3Z89vBeqEcgzU
7,L,Nigel Richards,387,468,-81,,https://woogles.io/anno/VDLnzVJ9FQ2VFrzmnuGQkQ
8,L,Rob Robinsky,375,403,-28,https://youtu.be/yTmtlKPjGNg?si=x7yLtvIh1ZOb8fOQ,https://woogles.io/anno/5Xi4uaNh5hhBzYvXAYc28E
9,W,Irfan Siddiqui,575,402,173,,https://woogles.io/anno/WtbceXugpyUvCPKv3cNzMr
10,L,Ben Schoenbrun,347,484,-137,,https://woogles.io/anno/NDzM7k9Znez83yc253kgUs
11,L,Darren Khoo,444,462,-18,,https://woogles.io/anno/kxEoxYEJfzAPokc6QAHqEn
12,W,Alexander Gozali,419,384,35,,
13,L,Siu Hean Cheah,420,482,-62,,
14,W,Rasheed Balogun 2,484,405,79,,
15,L,Unknown,387,422,-35,,
16,W,Aditya Iyengar,480,434,46,,
17,W,Edward Okulicz,477,296,181,,
18,W,Ricky Purnomo,448,350,98,,
19,W,Harshan Lamabadusuriya,456,359,97,,
20,W,Cameron Farlow,439,387,52,,http://woogles.io/anno/7LLSmgZuVK4XG4bLFvHb54
21,W,Darren Khoo 2,426,404,22,https://www.youtube.com/watch?v=aIHhLDifi5c,http://woogles.io/anno/UchNTiu8WJzffiSuaFSgfC
22,L,Madhav Gopal Kamath,449,537,-88,https://www.youtube.com/watch?v=Igo1krapuVg,http://woogles.io/anno/fkpzYLLyFuh54or6a3zQ42
23,L,Andrew Fisher,485,491,-6,,http://woogles.io/anno/GhxXmBwWRKACkUSrgXLvYr
24,L,Thacha Koowirat,412,428,-16,,http://woogles.io/anno/cphvnok35t5GZ8vpWbsuAV
25,W,CharnwitS Sukhumrattanaporn,468,341,127,,
26,L,Napat Vatjaranurathorn,418,537,-119,,
27,L,Brian Po,392,515,-123,,http://woogles.io/anno/R45KCF4jGcX6ExzN7Dj6cc
28,W,Ricky Purnomo 2,401,357,44,,http://woogles.io/anno/XcbEjh5DVTVf6tcXpfDhkZ
29,W,Irfan Siddiqui 2,437,350,87,,
30,L,Michael Gongolo,413,493,-80,,
31,W,Komol Panyasophonlert,581,399,182,,
32,W,Darren Khoo 3,539,400,139,,
33,W,Ben Schoenbrun 2,548,366,182,,
34,W,Napat Vatjaranurathorn 2,390,376,14,,
35,W,Jason Keller 2,484,356,128,,
36,W,Madhav Gopal Kamath 2,451,410,41,,
