round,result,opponent,player_score,opponent_score,spread,youtube_link,woogles_annotation
1,W,Jason Keller,438,390,48,,https://woogles.io/anno/MM83KTFgAtVNCaPi5WqNCR
1,W,Jason Keller,438,390,48,,
2,L,Darren Khoo,381,556,-175,,
3,W,Puttapong Moonsarn,478,319,159,,https://woogles.io/anno/MM83KTFgAtVNCaPi5WqNCR
4,W,Ricky Purnomo,407,400,7,,
5,L,Akshay Bhandarkar,297,504,-207,,https://woogles.io/anno/2icvdjj9wRXW4A4SEQqD2q
6,L,Rasheed Balogun,346,398,-52,,
7,L,Madhav Gopal Kamath,515,534,-19,,
8,W,Udayan Grover,386,356,30,,
9,W,Samson Okosagah,436,424,12,,
10,L,Jason Carney,289,553,-264,,
11,L,Edward Okulicz,384,496,-112,,
12,W,Lukeman Owolabi,484,460,24,,
13,W,Sujana Somasekar,498,405,93,,
14,L,Udayan Grover 2,274,517,-243,,
15,W,David Webb,371,425,-54,,
16,W,Rasheed Balogun 2,379,374,5,,
17,L,Ezinore George,317,405,-88,,
18,W,Vannitha Balasingam,456,339,117,,
19,L,Jimoh Abdulmumin,331,547,-216,,
20,W,Jason Carney 2,494,399,95,,
21,W,Trevor Halsall,486,363,123,,
22,L,Dean Saldanha,364,512,-148,,
23,L,Nuti Suri,437,484,-47,,
24,L,Sujana Somasekar 2,351,479,-128,,
25,W,Rob Robinsky,508,470,38,,
26,W,Charles Carneiro,471,442,29,,
27,W,Sanhanat Klanying,459,449,10,,
28,W,Weibin Toh,400,516,-116,,
29,L,Puttapong Moonsarn 2,404,452,-48,,
30,L,Samrath Singh Bhatia,354,365,-11,,
31,L,Lukeman Owolabi 2,316,583,-267,,
32,W,Euclid Hui,480,477,3,,
33,L,Anthony Ikolo,406,440,-34,,
34,L,Samrath Singh Bhatia 2,385,439,-54,,
35,L,Nopparuj Tipkaew,380,488,-108,,
36,L,Ishika Shivalingaiah,411,453,-42,,
