round,result,opponent,player_score,opponent_score,spread,youtube_link,woogles_annotation
1,L,Suyash Manchali,372,402,-30,,
1,L,Suyash Manchali,372,402,-30,,
2,W,Panupol Sujjayakorn,424,419,5,,
3,W,Sanhanat Klanying,496,445,51,,
4,W,David Webb,405,466,-61,,
5,W,Lukeman Owolabi,526,304,222,,
6,W,Chaiyottha Manachaisit,459,444,15,,
7,L,Joshua Castellano,405,447,-42,,
8,L,Kian Boon Liew,439,466,-27,,
9,W,Dean Saldanha,506,374,132,,
10,W,Natalie Zolty,486,465,21,,
11,L,Joshua Castellano 2,346,491,-145,,
12,W,Suyash Manchali 2,420,393,27,,
13,W,Trevor Halsall,492,355,137,,
14,L,Aditya Iyengar,427,481,-54,,
15,W,Siu Hean Cheah,515,418,97,,
16,L,Irfan Siddiqui,364,534,-170,,
17,W,Brian Po,513,356,157,,
18,W,CharnwitS Sukhumrattanaporn,484,445,39,,
19,L,Puttapong Moonsarn,380,535,-155,,
20,L,Alexander Gozali,370,423,-53,,
21,W,Michael Gongolo,464,463,1,,
22,L,Jimoh Abdulmumin,405,491,-86,,
23,W,Weibin Toh,459,446,13,,
24,L,Kian Boon Liew 2,410,472,-62,,
25,W,Unknown,515,449,66,,
26,L,Nuti Suri,301,487,-186,,
27,W,Ricky Purnomo,473,417,56,,
28,W,Puttapong Moonsarn 2,441,381,60,,
29,L,CharnwitS Sukhumrattanaporn 2,348,402,-54,,
30,L,Brian Po 2,339,435,-96,,
31,L,Irfan Siddiqui 2,436,574,-138,,
32,W,CharnwitS Sukhumrattanaporn 3,464,407,57,,
33,W,Waseem Khatri,470,359,111,,
34,L,Siu Hean Cheah 2,352,364,-12,,
35,W,David Webb 2,405,448,-43,,
36,W,Anthony Ikolo,561,432,129,,
