round,result,opponent,player_score,opponent_score,spread,youtube_link,woogles_annotation
1,W,Jack Moran,534,344,190,https://youtu.be/UzILbeuEPdU?si=n2ejMKmGfKFBELaG,https://woogles.io/anno/MM83KTFgAtVNCaPi5WqNCR
1,W,Jack Moran,534,344,190,,
2,W,Sujana Somasekar,565,371,194,,
3,L,Pesol Kosalakood,319,478,-159,,https://woogles.io/anno/MM83KTFgAtVNCaPi5WqNCR
4,W,Chock Heng Kong,433,367,66,,
5,W,Joshua Castellano,390,358,32,,
6,W,Soramet Mettaviharee,430,341,89,,https://woogles.io/anno/JsFQaqzeydkiuGGQwdXcy2
7,W,Weibin Toh,361,543,-182,,https://woogles.io/anno/2BmTXucThF264haWDPshqJ
8,W,Cameron Farlow,495,452,43,https://youtu.be/UzILbeuEPdU?si=n2ejMKmGfKFBELaG,https://woogles.io/anno/CQZoVcLHusxvtTXUNTeNDE
9,W,Trevor Halsall,494,437,57,,https://woogles.io/anno/Huna36gNnoDArmDje2c7Wy
10,L,CharnwitS Sukhumrattanaporn,407,485,-78,,https://woogles.io/anno/2BBb4Abr9oycHEZC3NFBfY
11,W,Dave Wiegand,390,423,-33,,https://woogles.io/anno/iRJD9pHtbJJZEQQ7vUeYfR
12,L,Nigel Richards,366,442,-76,,https://woogles.io/anno/KYCobsBajXWA8FoSqZsxM8
13,W,Russell Honeybun,510,375,135,,
14,W,Irfan Siddiqui,366,349,17,,
15,W,Akshay Bhandarkar,410,347,63,,http://woogles.io/anno/byRyB8UdGmiqX3q9Ak7doo
16,L,Darren Khoo,421,451,-30,,http://woogles.io/anno/mrVecWBQH9FfaZT8ugfUuJ
17,L,Thacha Koowirat,312,460,-148,,http://woogles.io/anno/6DUb8gjaV4ukCnq5jno5tt
18,L,Brian Po,334,543,-209,,
19,W,Piotr Andronowski,535,380,155,,
20,L,Kian Boon Liew,408,491,-83,,
21,W,Russell Honeybun 2,426,319,107,,
22,W,Jakkrit Klaphajone,486,373,113,,
23,L,Jimoh Abdulmumin,403,432,-29,,
24,L,Aditya Iyengar,353,363,-10,,
25,W,Siu Hean Cheah,481,398,83,,
26,L,Michael Gongolo,402,459,-57,,
27,L,Nigel Richards 2,320,446,-126,,
28,L,Piotr Andronowski 2,381,441,-60,,
29,W,Pesol Kosalakood 2,452,404,48,,
30,W,Weibin Toh 2,348,405,-57,,
31,L,Ricky Purnomo,281,401,-120,,
32,L,Rasheed Balogun,317,543,-226,,
33,W,Samrath Singh Bhatia,585,400,185,,
34,L,Dean Saldanha,332,466,-134,,
35,L,Samuel Crispin,333,498,-165,,
36,W,Vannitha Balasingam,453,399,54,,
