round,result,opponent,player_score,opponent_score,spread,youtube_link,woogles_annotation
1,L,Chaiyottha Manachaisit,352,479,-127,,https://woogles.io/anno/KZBUdh2nvKhw8sq9BrMxvB
1,L,Chaiyottha Manachaisit,352,479,-127,,
2,W,Vannitha Balasingam,473,385,88,,
3,W,Siddharth Nithyanand,495,441,54,,
4,W,Samuel Crispin,543,372,171,,
5,L,Panupol Sujjayakorn,389,463,-74,,
6,W,Pesol Kosalakood,398,346,52,,
7,W,Ishika Shivalingaiah,396,392,4,,
8,W,Charles Carneiro,474,418,56,,https://woogles.io/anno/KZBUdh2nvKhw8sq9BrMxvB
9,W,Josh Watt,394,530,-136,,https://woogles.io/anno/kpJqCQQa8KKJRLLwPZrUhn
10,L,Akshay Bhandarkar,390,469,-79,,https://woogles.io/anno/DeDFauqpvkpYX6hn3xHuZm
11,W,Chaiyottha Manachaisit 2,446,302,144,,
12,L,Madhav Gopal Kamath,415,498,-83,,
13,L,Thacha Koowirat,468,472,-4,,
14,L,Panupol Sujjayakorn 2,405,484,-79,,
15,L,Alexander Gozali,333,536,-203,,
16,L,Pesol Kosalakood 2,374,379,-5,,
17,W,Nopparuj Tipkaew,514,505,9,,
18,L,Jack Moran,469,518,-49,,
19,L,Michael Gongolo,487,568,-81,,
20,L,Samrath Singh Bhatia,420,482,-62,,
21,L,Orlet Bullock,339,426,-87,,
22,L,Anthony Ikolo,287,444,-157,,
23,W,Norases Vesdapunt,488,414,74,,
24,W,Gerry Carter,460,410,50,,
25,L,Vannitha Balasingam 2,394,418,-24,,
26,W,Edward Okulicz,543,418,125,,
27,L,Lukeman Owolabi,394,425,-31,,
28,W,Russell Honeybun,458,363,95,,
29,W,Thitipol Barameemuang,485,363,122,,
30,W,Rob Robinsky,502,386,116,,
31,W,Ezinore George,411,397,14,,
32,W,Puttapong Moonsarn,543,317,226,,
33,W,Ricky Purnomo,516,404,112,,
34,W,Weibin Toh,463,518,-55,,
35,W,Dean Saldanha,451,392,59,,
36,W,Cameron Farlow,459,372,87,,
