round,result,opponent,player_score,opponent_score,spread,youtube_link,woogles_annotation
1,W,Thitipol Barameemuang,425,317,108,https://www.youtube.com/watch?v=8JExKVviX8g,https://woogles.io/anno/PzYPSgfB7pMHRhVDY2d9KS
1,W,Thitipol Barameemuang,425,317,108,,
2,L,Aditya Iyengar,348,440,-92,,https://woogles.io/anno/PzYPSgfB7pMHRhVDY2d9KS
3,W,Unknown,429,334,95,,
4,L,Pesol Kosalakood,400,407,-7,,
5,W,Odette Rio,477,455,22,,
6,W,Jimoh Abdulmumin,464,405,59,,
7,L,Irfan Siddiqui,423,426,-3,,
8,W,Trevor Halsall,424,340,84,,https://woogles.io/anno/T6L3ALTGzWVbVL3UhNA6N9
9,W,Sujana Somasekar,455,443,12,,
10,W,Joshua Castellano,490,359,131,,
11,L,Nigel Richards,381,525,-144,,https://woogles.io/anno/XXDTKU3X2CbYmEa9iiwbW4
12,L,Ben Schoenbrun,355,508,-153,https://www.youtube.com/watch?v=8JExKVviX8g,https://woogles.io/anno/2PHwgb9qG9wZ2zWTE7cipt
13,W,Alexander Gozali,476,444,32,,
14,W,Trevor Halsall 2,485,367,118,,
15,L,Darren Khoo,380,485,-105,,http://woogles.io/anno/PN9MacBkYYA7em85RMpLWA
16,L,Andrew Fisher,352,494,-142,,http://woogles.io/anno/Guq3hqDMUV53WENWfXiPXm
17,L,Akshay Bhandarkar,420,456,-36,,http://woogles.io/anno/oPgABRwevUKgC3vjArqL2M
18,L,Panupol Sujjayakorn,350,448,-98,,
19,W,Euclid Hui,477,374,103,,
20,W,Sanhanat Klanying,496,419,77,,
21,L,Jimoh Abdulmumin 2,417,425,-8,,
22,W,Russell Honeybun,488,362,126,,
23,W,Austin Shin,480,417,63,,
24,W,Waseem Khatri,485,412,73,,
25,L,Harshan Lamabadusuriya,417,463,-46,,http://woogles.io/anno/BDFX5Sc7vjTKGbJiRheHF8
26,W,Ben Schoenbrun 2,490,385,105,,http://woogles.io/anno/MkddgWWM3RDUvsWGcXDZXt
27,L,Piotr Andronowski,417,473,-56,,
28,L,Panupol Sujjayakorn 2,357,401,-44,,http://woogles.io/anno/XcbEjh5DVTVf6tcXpfDhkZ
29,L,Nuti Suri,395,466,-71,,
30,L,Irfan Siddiqui 2,316,416,-100,,
31,W,Puttapong Moonsarn,401,281,120,,
32,L,Sanhanat Klanying 2,374,464,-90,,
33,L,Rasheed Balogun,404,516,-112,,
34,W,Doko Oluwatimilehin,427,422,5,,
35,L,Odette Rio 2,308,488,-180,,
36,L,Dean Saldanha,449,505,-56,,
