round,result,opponent,player_score,opponent_score,spread,youtube_link,woogles_annotation
1,W,Harshan Lamabadusuriya,525,480,45,,
1,W,Harshan Lamabadusuriya,525,480,45,,
2,L,Unknown,368,397,-29,,
3,W,Sherwin Rodrigues,357,339,18,,
4,L,Dean Saldanha,349,458,-109,,
5,W,Norases Vesdapunt,401,387,14,,
6,W,Josh Watt,430,505,-75,,
7,W,Thomson Law,480,440,40,,
8,W,Akegapun Erbprasartsook,382,352,30,,
9,L,Chaiyottha Manachaisit,439,456,-17,,
10,W,Weibin Toh,387,532,-145,,
11,W,Sujana Somasekar,533,347,186,,
12,W,Michael Gongolo,484,398,86,,
13,W,Jason Carney,528,397,131,,
14,L,Jakkrit Klaphajone,395,493,-98,,
15,W,Charles Carneiro,473,450,23,,
16,L,Chaiyottha Manachaisit 2,420,503,-83,,
17,L,Cameron Farlow,377,491,-114,,
18,L,Euclid Hui,287,511,-224,,
19,L,Unknown,469,499,-30,,
20,L,Unknown,412,509,-97,,
21,L,Nopparuj Tipkaew,510,522,-12,,
22,L,Samrath Singh Bhatia,442,477,-35,,
23,W,Marlon Prudencio,422,403,19,,
24,W,William Kang,392,431,-39,,
25,L,Edward Okulicz,460,473,-13,,
26,W,Natthakorn Siriwatthanaphongsa,369,359,10,,
27,L,Samuel Crispin,399,551,-152,,
28,L,Rob Robinsky,381,438,-57,,
29,W,Sanjoy Gupta,423,372,51,,
30,W,Siddharth Nithyanand,585,263,322,,
31,L,Marlon Prudencio 2,419,420,-1,,
32,L,Thomson Law 2,443,444,-1,,
33,W,Russell Honeybun,525,344,181,,
34,W,Thomson Law 3,585,317,268,,
35,W,Ryan Wee,425,386,39,,
36,L,Doko Oluwatimilehin,393,471,-78,,
