round,result,opponent,player_score,opponent_score,spread,youtube_link,woogles_annotation
1,W,Ryan Wee,479,402,77,https://youtu.be/YgpA3qlOrFg?si=GpBzMwZIZDaselHP,https://woogles.io/anno/erZbeydedQzQk8CgDpCmBX
1,W,Ryan Wee,479,402,77,,
2,W,Charles Carneiro,462,332,130,,
3,L,CharnwitS Sukhumrattanaporn,329,410,-81,,
4,W,Weibin Toh,420,376,44,,
5,W,Chock Heng Kong,431,420,11,,
6,W,David Eldar,487,407,80,,
7,L,Trevor Halsall,413,446,-33,https://youtu.be/YgpA3qlOrFg?si=GpBzMwZIZDaselHP,https://woogles.io/anno/erZbeydedQzQk8CgDpCmBX
8,W,Panupol Sujjayakorn,403,375,28,https://youtu.be/yTmtlKPjGNg?si=x7yLtvIh1ZOb8fOQ,https://woogles.io/anno/5Xi4uaNh5hhBzYvXAYc28E
9,L,Russell Honeybun,414,423,-9,,https://woogles.io/anno/TqHGXRYvfPctbKVZGM3uvC
10,W,Nigel Richards,434,414,20,,https://woogles.io/anno/CJqjBZ7FTaPpg5LEsU78za
11,L,Jason Keller,427,452,-25,,https://woogles.io/anno/jQxavFL2cvSoFfS6KFNYGs
12,L,David Eldar 2,423,536,-113,,https://woogles.io/anno/G7GKUmuikUNHcoM8yeVbvA
13,L,Darren Khoo,399,424,-25,,http://woogles.io/anno/KntxRV5BuJQy3rMkEaWoyq
14,L,Kian Boon Liew,425,449,-24,,http://woogles.io/anno/BfzeAGQLN6feEMWG66qxVV
15,L,Euclid Hui,419,459,-40,,
16,L,Dean Saldanha,466,479,-13,,
17,W,Samson Okosagah,492,438,54,,
18,L,Chock Heng Kong 2,379,491,-112,,
19,W,Edward Okulicz,500,326,174,,
20,W,David Webb,428,451,-23,,
21,W,Vannitha Balasingam,512,396,116,,
22,L,Ezinore George,326,422,-96,,
23,W,Dean Saldanha 2,436,388,48,,
24,L,Unknown,441,456,-15,,
25,L,Pesol Kosalakood,470,508,-38,,
26,L,Anthony Ikolo,393,438,-45,,
27,L,Natthakorn Siriwatthanaphongsa,401,478,-77,,
28,W,Rik Kennedy,438,381,57,,
29,W,Euclid Hui 2,484,353,131,,
30,L,Rasheed Balogun,386,502,-116,,
31,W,Ryan Wee 2,501,387,114,,
32,W,Lukeman Owolabi,457,383,74,,
33,W,Jack Moran,529,402,127,,
34,W,Sujana Somasekar,561,357,204,,
35,W,Sherwin Rodrigues,492,444,48,,
36,L,Darren Khoo 2,354,459,-105,,
