round,result,opponent,player_score,opponent_score,spread,youtube_link,woogles_annotation
1,W,Nuti Suri,470,429,41,,https://woogles.io/anno/NBERLUr2Ka3T7Bf8aypfJE
1,W,Unknown,,,,,
2,W,Nuti Suri,470,429,41,,https://woogles.io/anno/NBERLUr2Ka3T7Bf8aypfJE
3,W,Weibin Toh,423,430,-7,,
4,L,Akshay Bhandarkar,376,406,-30,,
5,W,Aditya Iyengar,467,413,54,,
6,W,Chock Heng Kong,643,373,270,,
7,W,Natalie Zolty,530,474,56,,
8,L,Unknown,449,454,-5,,https://woogles.io/anno/U5mAKTSQwjqtw9VnwGk3Qm
9,W,Rob Robinsky,423,414,9,,https://woogles.io/anno/TqHGXRYvfPctbKVZGM3uvC
10,L,Thacha Koowirat,397,450,-53,,https://woogles.io/anno/CRbyKJC57on2BteZhbUhBu
11,W,Unknown,432,391,41,,
12,W,Jesse Day,426,373,53,,https://woogles.io/anno/gY6moQmV4FyhsvQBpo3BvP
13,L,Puttapong Moonsarn,375,510,-135,,
14,L,Komol Panyasophonlert,376,438,-62,,http://woogles.io/anno/4nDPuZyJAHWj3GENSmPB7Q
15,W,Aditya Iyengar 2,563,356,207,,
16,L,CharnwitS Sukhumrattanaporn,378,536,-158,,
17,W,Nigel Richards,454,427,27,,
18,L,Charles Carneiro,365,467,-102,,
19,L,Brian Po,392,471,-79,,
20,W,Siu Hean Cheah,493,453,40,,
21,L,Puttapong Moonsarn 2,319,426,-107,,
22,L,Ricky Purnomo,362,488,-126,,
23,L,Unknown,383,495,-112,,
24,L,Samrath Singh Bhatia,344,471,-127,,
25,L,Udayan Grover,372,437,-65,,
26,W,Ryan Wee,390,499,-109,,
27,L,Austin Shin,401,481,-80,,
28,L,Rasheed Balogun,363,458,-95,,
29,L,Edward Okulicz,440,445,-5,,
30,L,Mike Baron,337,488,-151,,
31,W,J Jeyaseelan,430,386,44,,
32,W,Natthakorn Siriwatthanaphongsa,563,385,178,,
33,L,Rik Kennedy,344,525,-181,,
34,L,CharnwitI Iamudom,328,425,-97,,
35,L,Thitipol Barameemuang,390,468,-78,,
